Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
14:00:58,MIRA,S,2.53,1563,SMRT,,TRIB14396,Margin,AUTO,-,0,41.68,Equity/ETF,,15817.6,3954.39,,
14:00:50,MIRA,S,2.53,1562,SMRT,,TRIB14396,Margin,AUTO,-,0,41.65,Equity/ETF,,15807.4,3951.86,,
14:00:31,MIRA,S,2.51,3124,SMRT,,TRIB14396,Margin,AUTO,-,0,20.83,Equity/ETF,,31365,7841.24,,
14:00:14,MIRA,B,2.51,2083,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20913.3,5228.33,,
14:00:14,MIRA,B,2.5,4166,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-41660,10415,,
13:58:44,MIRA,S,2.49,8449,SMRT,,TRIB14396,Margin,AUTO,-,0,337.96,Equity/ETF,,84152,21038,,
13:58:16,MIRA,B,2.45,2112,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20697.6,5174.4,,
13:58:15,MIRA,B,2.45,2112,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20697.6,5174.4,,
13:58:13,MIRA,B,2.45,4225,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-41405,10351.2,,
09:07:26,THAR,B,5.44,3989,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-21700.2,21700.2,,
08:31:53,THAR,S,5.53,3807,SMRT,,TRIB14396,Margin,AUTO,-,0,-837.54,Equity/ETF,,18540.1,21052.7,,
08:31:48,THAR,B,5.75,3807,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-21890.2,21890.2,,
08:04:16,FLGC,S,2.1,6818,SMRT,,TRIB14396,Margin,AUTO,-,0,-1363.60,Equity/ETF,,57271.2,14317.8,,
09:43:54,THAR,B,5.57,3911,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-21784.3,21784.3,,
09:35:32,FVRR,B,30.63,916,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-28057.1,28057.1,,
08:04:03,FLGC,B,2.3,6818,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-62725.6,15681.4,,
08:03:58,FLGC,S,2.22,6802,SMRT,,TRIB14396,Margin,AUTO,-,0,-476.14,Equity/ETF,,60401.8,15100.4,,
09:39:41,ASPI,B,8.58,2806,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-24075.5,24075.5,,
08:03:50,FLGC,B,2.29,6802,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-62306.3,15576.6,,
09:38:07,THAR,B,6.29,3575,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-22486.8,22486.8,,
09:39:39,ASPI,B,8.57,2811,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-24090.3,24090.3,,
08:31:17,THAR,S,5.14,4087,SMRT,,TRIB14396,Margin,AUTO,-,0,-408.70,Equity/ETF,,19781.1,21007.2,,
08:21:26,THAR,B,3.8,2538,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-9644.4,9644.4,,
