Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
05:33:02,XHG,B,2.36,12195,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115121,28780.2,,
05:33:05,XHG,S,2.32,12195,SMRT,,TRIB14396,Margin,AUTO,-,0,-487.80,Equity/ETF,,113170,28292.4,,
05:33:10,XHG,B,2.3,12448,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-114522,28630.4,,
05:33:34,XHG,S,2.3,12448,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,114522,28630.4,,
05:34:17,XHG,B,2.19,13157,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115255,28813.8,,
05:34:49,XHG,S,2.26,6578,SMRT,,TRIB14396,Margin,AUTO,-,0,460.46,Equity/ETF,,59465.1,14866.3,,
05:36:47,XHG,S,2.2,6579,SMRT,,TRIB14396,Margin,AUTO,-,0,65.79,Equity/ETF,,57895.2,14473.8,,
05:37:20,SLXN,B,4.52,3246,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-14671.9,14671.9,,
05:39:23,SLXN,B,4.23,3464,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-14652.7,14652.7,,
05:40:13,SLXN,S,3.93,6710,SMRT,,TRIB14396,Margin,AUTO,-,0,-2954.34,Equity/ETF,,17507.3,26370.3,,
05:40:37,SLXN,B,3.9,7500,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29250,29250,,
05:40:46,SLXN,B,3.88,7537,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29243.6,29243.6,,
05:43:16,ELAB,B,3.25,8955,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29103.8,29103.8,,
05:43:21,ELAB,S,3.2,8955,SMRT,,TRIB14396,Margin,AUTO,-,0,-447.75,Equity/ETF,,27312.8,28656,,
05:43:30,ELAB,B,3.26,8955,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29193.3,29193.3,,
05:44:30,ELAB,S,3.38,4477,SMRT,,TRIB14396,Margin,AUTO,+,0,537.24,Equity/ETF,,16744,15132.3,,
05:44:36,ELAB,S,3.39,2239,SMRT,,TRIB14396,Margin,AUTO,+,0,291.07,Equity/ETF,,8463.42,7590.21,,
