Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,Value,P/L R,
16:31:54,VS,S,2.61,37,NSDQ,XNAS,14540,Margin,V2501160055007,-,0,-7.40,Equity/ETF,R,96.57,,
16:31:54,VS,S,2.63,100,NSDQ,XNAS,14540,Margin,V2501160055007,-,0,-18.00,Equity/ETF,R,263,,
16:31:05,VS,B,2.81,69,NSDQ,XNAS,14540,Margin,V2501160054974,-,0,0.00,Equity/ETF,R,193.89,,
16:31:04,VS,B,2.81,68,NSDQ,XNAS,14540,Margin,V2501160054972,-,0,0.00,Equity/ETF,R,191.08,,
16:27:58,VS,S,2.52,19,NSDQ,XNAS,14540,Margin,V2501160054873,-,0,-0.19,Equity/ETF,R,47.88,,
16:27:28,VS,S,2.56,19,NSDQ,XNAS,14540,Margin,V2501160054857,-,0,0.57,Equity/ETF,R,48.64,,
16:27:24,VS,S,2.58,38,NSDQ,XNAS,14540,Margin,V2501160054855,-,0,1.90,Equity/ETF,R,98.04,,
16:26:41,VS,B,2.53,76,NSDQ,XNAS,14540,Margin,V2501160054819,-,0,0.00,Equity/ETF,R,192.28,,
16:26:10,VS,S,2.63,26,NSDQ,XNAS,14540,Margin,V2501160054776,-,0,-8.29,Equity/ETF,R,68.38,,
16:26:10,VS,S,2.63,6,NSDQ,XNAS,14540,Margin,V2501160054776,-,0,-1.91,Equity/ETF,R,15.78,,
16:26:06,VS,S,2.65,33,NSDQ,XNAS,14540,Margin,V2501160054770,-,0,-9.86,Equity/ETF,R,87.45,,
16:19:54,VS,S,2.97,57,NSDQ,XNAS,14540,Margin,V2501160054538,-,0,1.21,Equity/ETF,A,169.29,,
16:19:54,VS,S,2.97,4,NSDQ,XNAS,14540,Margin,V2501160054538,-,0,0.08,Equity/ETF,A,11.88,,
16:19:53,VS,S,2.97,4,NSDQ,XNAS,14540,Margin,V2501160054538,-,0,0.08,Equity/ETF,A,11.88,,
16:17:58,VS,B,2.82,68,NSDQ,XNAS,14540,Margin,V2501160054406,-,0,0.00,Equity/ETF,R,191.76,,
16:17:05,VS,B,3.09,62,NSDQ,XNAS,14540,Margin,V2501160054372,-,0,0.00,Equity/ETF,R,191.58,,
16:13:19,ISPC,S,3.57,24,NSDQ,XNAS,14540,Margin,V2501160054201,-,0,1.29,Equity/ETF,A,85.68,,
16:13:08,ISPC,S,3.55,24,NSDQ,XNAS,14540,Margin,V2501160054182,-,0,0.81,Equity/ETF,A,85.2,,
16:12:31,ISPC,S,3.5,47,NSDQ,XNAS,14540,Margin,V2501160054119,-,0,-0.76,Equity/ETF,A,164.5,,
16:12:02,ISPC,B,3.54,54,NSDQ,XNAS,14540,Margin,V2501160054089,-,0,0.00,Equity/ETF,R,191.16,,
16:10:51,ISPC,B,3.57,13,NSDQ,XNAS,14540,Margin,V2501160054049,-,0,0.00,Equity/ETF,R,46.41,,
16:10:46,ISPC,B,3.44,14,NSDQ,XNAS,14540,Margin,V2501160054041,-,0,0.00,Equity/ETF,R,48.16,,
16:10:33,ISPC,B,3.45,14,NSDQ,XNAS,14540,Margin,V2501160054035,-,0,0.00,Equity/ETF,R,48.3,,
07:48:25,WHLR,S,4.28,45,ARCA,ARCX,14540,Margin,V2501160014876,-,0,-2.70,Equity/ETF,RBD,192.6,,
08:36:40,WHLR,S,4.61,42,ARCA,ARCX,14540,Margin,V2501160019476,-,0,0.84,Equity/ETF,ARE,193.62,,
07:41:22,WHLR,B,4.48,10,ARCA,ARCX,14540,Margin,V2501160014164,-,0,0.00,Equity/ETF,RBD,44.8,,
07:41:21,WHLR,B,4.51,8,ARCA,ARCX,14540,Margin,V2501160014161,-,0,0.00,Equity/ETF,RR,36.08,,
07:41:21,WHLR,B,4.51,2,ARCA,ARCX,14540,Margin,V2501160014161,-,0,0.00,Equity/ETF,RR,9.02,,
08:35:59,WHLR,B,4.59,42,ARCA,ARCX,14540,Margin,V2501160019428,-,0,0.00,Equity/ETF,RBD,192.78,,
07:26:59,WHLR,S,4.29,11,ARCA,ARCX,14540,Margin,V2501160012974,-,0,0.33,Equity/ETF,ARE,47.19,,
07:46:55,WHLR,B,4.34,45,ARCA,ARCX,14540,Margin,V2501160014754,-,0,0.00,Equity/ETF,RR,195.3,,
12:12:10,DATS,S,6.2501,7,NSDQ,VLCT,14540,Margin,V2501160044966,-,0,-0.14,Equity/ETF,,43.7507,,
12:11:44,DATS,B,6.27,7,NSDQ,XNAS,14540,Margin,V2501160044932,-,0,0.00,Equity/ETF,R,43.89,,
07:20:28,WHLR,S,4.18,23,ARCA,ARCX,14540,Margin,V2501160011883,-,0,0.92,Equity/ETF,ARE,96.14,,
07:57:08,WHLR,S,4.22,90,ARCA,ARCX,14540,Margin,V2501160015625,-,0,-7.65,Equity/ETF,RBD,379.8,,
08:25:37,WHLR,B,4.68,41,ARCA,ARCX,14540,Margin,V2501160018563,-,0,0.00,Equity/ETF,RR,191.88,,
09:19:04,BMRA,S,0.98,22,ARCA,ARCX,14540,Margin,V2501160023587,-,0,-0.88,Equity/ETF,RRZ,21.56,,
07:26:27,WHLR,B,4.26,11,ARCA,ARCX,14540,Margin,V2501160012894,-,0,0.00,Equity/ETF,RBD,46.86,,
08:35:06,WHLR,S,4.63,52,ARCA,ARCX,14540,Margin,V2501160019303,-,0,0.58,Equity/ETF,RBD,240.76,,
07:20:09,WHLR,B,4.14,47,ARCA,ARCX,14540,Margin,V2501160011816,-,0,0.00,Equity/ETF,RBD,194.58,,
09:18:24,BMRA,S,0.9875,22,ARCA,ARCX,14540,Margin,V2501160023547,-,0,-0.71,Equity/ETF,AREZ,21.725,,
07:26:20,WHLR,S,4.38,11,ARCA,ARCX,14540,Margin,V2501160012835,-,0,0.33,Equity/ETF,AREI,48.18,,
07:56:00,WHLR,B,4.33,45,ARCA,ARCX,14540,Margin,V2501160015527,-,0,0.00,Equity/ETF,RR,194.85,,
08:34:47,WHLR,B,4.64,42,ARCA,ARCX,14540,Margin,V2501160019253,-,0,0.00,Equity/ETF,RR,194.88,,
09:09:04,BMRA,S,1,44,ARCA,ARCX,14540,Margin,V2501160022757,-,0,-0.66,Equity/ETF,RR,44,,
07:23:07,WHLR,S,4.32,7,ARCA,ARCX,14540,Margin,V2501160012311,-,0,0.28,Equity/ETF,ARE,30.24,,
07:55:56,WHLR,B,4.28,45,ARCA,ARCX,14540,Margin,V2501160015521,-,0,0.00,Equity/ETF,RR,192.6,,
07:39:03,WHLR,S,4.27,66,ARCA,ARCX,14540,Margin,V2501160014010,-,0,-7.04,Equity/ETF,RR,281.82,,
07:26:02,WHLR,B,4.35,11,ARCA,ARCX,14540,Margin,V2501160012827,-,0,0.00,Equity/ETF,RR,47.85,,
08:34:21,WHLR,B,4.53,10,ARCA,ARCX,14540,Margin,V2501160019230,-,0,0.00,Equity/ETF,RR,45.3,,
09:08:51,BMRA,B,1.015,44,ARCA,ARCX,14540,Margin,V2501160022741,-,0,0.00,Equity/ETF,RBD,44.66,,
09:08:32,BMRA,S,1.04,44,ARCA,ARCX,14540,Margin,V2501160022704,-,0,1.32,Equity/ETF,ARE,45.76,,
07:37:51,WHLR,B,4.31,12,ARCA,ARCX,14540,Margin,V2501160013953,-,0,0.00,Equity/ETF,RR,51.72,,
07:37:51,WHLR,B,4.31,10,ARCA,ARCX,14540,Margin,V2501160013953,-,0,0.00,Equity/ETF,RR,43.1,,
07:25:44,WHLR,S,4.36,19,ARCA,ARCX,14540,Margin,V2501160012766,-,0,1.52,Equity/ETF,RR,82.84,,
09:08:25,BMRA,B,1.01,44,ARCA,ARCX,14540,Margin,V2501160022687,-,0,0.00,Equity/ETF,RBD,44.44,,
08:32:21,WHLR,S,4.48,31,ARCA,ARCX,14540,Margin,V2501160019142,-,0,-3.10,Equity/ETF,RR,138.88,,
08:49:12,BMRA,S,0.74,60,ARCA,ARCX,14540,Margin,V2501160020748,-,0,1.31,Equity/ETF,AREZ,44.4,,
07:53:54,WHLR,S,4.22,11,ARCA,ARCX,14540,Margin,V2501160015352,-,0,0.22,Equity/ETF,ARE,46.42,,
08:31:08,WHLR,B,4.5,10,ARCA,ARCX,14540,Margin,V2501160019087,-,0,0.00,Equity/ETF,RBD,45,,
08:48:54,BMRA,B,0.7181,60,ARCA,ARCX,14540,Margin,V2501160020698,-,0,0.00,Equity/ETF,RRZ,43.086,,
07:22:45,WHLR,B,4.3,22,ARCA,ARCX,14540,Margin,V2501160012233,-,0,0.00,Equity/ETF,RR,94.6,,
07:53:14,WHLR,B,4.2,1,ARCA,ARCX,14540,Margin,V2501160015303,-,0,0.00,Equity/ETF,RR,4.2,,
07:53:14,WHLR,B,4.2,6,ARCA,ARCX,14540,Margin,V2501160015303,-,0,0.00,Equity/ETF,RR,25.2,,
07:53:14,WHLR,B,4.2,4,ARCA,ARCX,14540,Margin,V2501160015303,-,0,0.00,Equity/ETF,RR,16.8,,
07:30:12,WHLR,S,4.08,1,ARCA,ARCX,14540,Margin,V2501160013357,-,0,-0.01,Equity/ETF,X,4.08,,
07:30:12,WHLR,S,4.08,10,ARCA,ARCX,14540,Margin,V2501160013357,-,0,-0.10,Equity/ETF,RR,40.8,,
07:22:43,WHLR,B,4.26,21,ARCA,ARCX,14540,Margin,V2501160012227,-,0,0.00,Equity/ETF,RR,89.46,,
07:22:43,WHLR,B,4.26,1,ARCA,ARCX,14540,Margin,V2501160012227,-,0,0.00,Equity/ETF,RR,4.26,,
08:38:54,WHLR,S,4.5,43,ARCA,ARCX,14540,Margin,V2501160019761,-,0,1.48,Equity/ETF,RBD,193.5,,
08:01:46,PALI,S,2.72,17,ARCA,ARCX,14540,Margin,V2501160016056,-,0,0.85,Equity/ETF,ARE,46.24,,
08:38:39,WHLR,B,4.47,24,ARCA,ARCX,14540,Margin,V2501160019733,-,0,0.00,Equity/ETF,RR,107.28,,
08:38:39,WHLR,B,4.46,9,ARCA,ARCX,14540,Margin,V2501160019733,-,0,0.00,Equity/ETF,RBD,40.14,,
08:38:39,WHLR,B,4.46,10,ARCA,ARCX,14540,Margin,V2501160019733,-,0,0.00,Equity/ETF,RBD,44.6,,
07:29:56,WHLR,B,4.09,4,ARCA,ARCX,14540,Margin,V2501160013318,-,0,0.00,Equity/ETF,RR,16.36,,
08:01:42,PALI,B,2.67,17,ARCA,ARCX,14540,Margin,V2501160016050,-,0,0.00,Equity/ETF,RBD,45.39,,
07:29:56,WHLR,B,4.09,7,ARCA,ARCX,14540,Margin,V2501160013318,-,0,0.00,Equity/ETF,RR,28.63,,
08:30:09,WHLR,B,4.55,10,ARCA,ARCX,14540,Margin,V2501160018987,-,0,0.00,Equity/ETF,RR,45.5,,
07:29:41,WHLR,S,4.13,11,ARCA,ARCX,14540,Margin,V2501160013280,-,0,-1.65,Equity/ETF,RR,45.43,,
07:25:21,WHLR,S,4.34,18,ARCA,ARCX,14540,Margin,V2501160012656,-,0,1.08,Equity/ETF,ARE,78.12,,
08:47:26,WHLR,S,4.32,9,ARCA,ARCX,14540,Margin,V2501160020533,-,0,-1.35,Equity/ETF,RR,38.88,,
08:47:26,WHLR,S,4.33,1,ARCA,ARCX,14540,Margin,V2501160020533,-,0,-0.14,Equity/ETF,RBD,4.33,,
07:36:25,WHLR,B,4.37,22,ARCA,ARCX,14540,Margin,V2501160013845,-,0,0.00,Equity/ETF,RR,96.14,,
07:36:17,WHLR,B,4.45,22,ARCA,ARCX,14540,Margin,V2501160013828,-,0,0.00,Equity/ETF,RR,97.9,,
08:13:38,WHLR,S,4.39,12,ARCA,ARCX,14540,Margin,V2501160017377,-,0,0.72,Equity/ETF,X,52.68,,
09:14:44,BMRA,B,1.02,44,ARCA,ARCX,14540,Margin,V2501160023279,-,0,0.00,Equity/ETF,RR,44.88,,
08:13:32,WHLR,S,4.4,11,ARCA,ARCX,14540,Margin,V2501160017359,-,0,0.77,Equity/ETF,RBD,48.4,,
07:29:21,WHLR,B,4.28,11,ARCA,ARCX,14540,Margin,V2501160013215,-,0,0.00,Equity/ETF,RR,47.08,,
09:22:06,BMRA,S,1.07,86,ARCA,ARCX,14540,Margin,V2501160023807,-,0,1.72,Equity/ETF,ARE,92.02,,
08:13:30,WHLR,S,4.37,22,ARCA,ARCX,14540,Margin,V2501160017348,-,0,0.88,Equity/ETF,RR,96.14,,
08:01:14,PALI,S,2.6,72,ARCA,ARCX,14540,Margin,V2501160015961,-,0,2.06,Equity/ETF,ARE,187.2,,
09:21:59,BMRA,B,1.05,86,ARCA,ARCX,14540,Margin,V2501160023783,-,0,0.00,Equity/ETF,RR,90.3,,
08:01:11,PALI,B,2.62,22,ARCA,ARCX,14540,Margin,V2501160015953,-,0,0.00,Equity/ETF,RR,57.64,,
08:01:11,PALI,B,2.55,50,ARCA,ARCX,14540,Margin,V2501160015953,-,0,0.00,Equity/ETF,RBD,127.5,,
07:22:25,WHLR,S,4.15,12,ARCA,ARCX,14540,Margin,V2501160012110,-,0,0.12,Equity/ETF,ARE,49.8,,
09:13:57,BMRA,S,0.962,44,ARCA,ARCX,14540,Margin,V2501160023224,-,0,-2.55,Equity/ETF,XZ,42.328,,
08:13:20,WHLR,B,4.33,22,ARCA,ARCX,14540,Margin,V2501160017318,-,0,0.00,Equity/ETF,X,95.26,,
08:13:20,WHLR,B,4.33,5,ARCA,ARCX,14540,Margin,V2501160017318,-,0,0.00,Equity/ETF,RR,21.65,,
08:13:20,WHLR,B,4.33,1,ARCA,ARCX,14540,Margin,V2501160017318,-,0,0.00,Equity/ETF,RR,4.33,,
