Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,P / L,Liq,ECNFee,SecType,LiqType,Value,P/L R,
05:51:15,MBOT,S,3.73,53,ARCA,ARCX,14540,Margin,V2501060008869,3.44,-,0,Equity/ETF,ARE,197.69,,
05:50:49,MBOT,B,3.665,53,ARCA,ARCX,14540,Margin,V2501060008851,0.00,-,0,Equity/ETF,RBD,194.245,,
05:45:31,MBOT,S,3.67,13,ARCA,ARCX,14540,Margin,V2501060008566,0.91,-,0,Equity/ETF,ARE,47.71,,
05:45:21,MBOT,B,3.6,13,ARCA,ARCX,14540,Margin,V2501060008558,0.00,-,0,Equity/ETF,RR,46.8,,
05:26:23,SPPL,S,2.32,20,ARCA,ARCX,14540,Margin,V2501060007281,0.20,-,0,Equity/ETF,RR,46.4,,
05:26:10,SPPL,B,2.31,20,ARCA,ARCX,14540,Margin,V2501060007260,0.00,-,0,Equity/ETF,RBD,46.2,,
05:08:46,MBOT,S,3.36,14,ARCA,ARCX,14540,Margin,V2501060006183,0.42,-,0,Equity/ETF,ARE,47.04,,
05:08:37,MBOT,B,3.33,14,ARCA,ARCX,14540,Margin,V2501060006172,0.00,-,0,Equity/ETF,RR,46.62,,
04:58:31,KITT,S,7.29,6,ARCA,ARCX,14540,Margin,V2501060005443,0.30,-,0,Equity/ETF,ARE,43.74,,
04:58:28,KITT,B,7.24,6,ARCA,ARCX,14540,Margin,V2501060005435,0.00,-,0,Equity/ETF,RR,43.44,,
04:46:06,KITT,S,6.94,10,ARCA,ARCX,14540,Margin,V2501060004512,1.70,-,0,Equity/ETF,ARE,69.4,,
04:41:17,KITT,S,6.61,10,ARCA,ARCX,14540,Margin,V2501060004258,-1.60,-,0,Equity/ETF,RBD,66.1,,
04:09:47,KITT,B,6.53,10,ARCA,ARCX,14540,Margin,V2501060001169,0.00,-,0,Equity/ETF,RR,65.3,,
04:08:40,KITT,B,7.01,10,ARCA,ARCX,14540,Margin,V2501060000998,0.00,-,0,Equity/ETF,RBD,70.1,,
