Time,Symbol,Side,Price,Qty,Route,Cloid,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,Broker,Account,Type,
09:37:31,TOVX,B,2.6,3205,SMRT,AUTO,0,0.00,Equity/ETF,,-33332,8333,,,TRIB14396,Margin,
09:03:35,PRSO,S,2.93,1418,SMRT,AUTO,0,42.54,Equity/ETF,,16619,4154.74,,,TRIB14396,Margin,
09:03:34,PRSO,S,3.09,1418,SMRT,AUTO,0,269.42,Equity/ETF,,17526.5,4381.62,,,TRIB14396,Margin,
09:03:30,PRSO,S,3.24,2835,SMRT,AUTO,0,963.90,Equity/ETF,,36741.6,9185.4,,,TRIB14396,Margin,
09:03:21,PRSO,B,2.9,5671,SMRT,AUTO,0,0.00,Equity/ETF,,-65783.6,16445.9,,,TRIB14396,Margin,
09:50:46,CDXC,S,4.75,2145,SMRT,AUTO,0,-300.30,Equity/ETF,,9287.85,10188.8,,,TRIB14396,Margin,
09:50:35,CDXC,B,4.89,2145,SMRT,AUTO,0,0.00,Equity/ETF,,-10489,10489,,,TRIB14396,Margin,
09:56:47,CDXC,S,4.95,1068,SMRT,AUTO,0,32.04,Equity/ETF,,5382.72,5286.6,,,TRIB14396,Margin,
09:56:42,CDXC,B,4.92,1068,SMRT,AUTO,0,0.00,Equity/ETF,,-5254.56,5254.56,,,TRIB14396,Margin,
09:37:40,TOVX,S,2.55,3205,SMRT,AUTO,0,-160.25,Equity/ETF,,32691,8172.75,,,TRIB14396,Margin,
