Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
06:57:32,SINT,B,3.58,5281,SMRT,,TRIB14396,Margin,AUTO,+,0,0.00,Equity/ETF,,-18906,18906,,
06:58:51,SINT,S,3.58,5281,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,18906,18906,,
07:00:23,SINT,B,3.7,5172,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19136.4,19136.4,,
07:00:29,SINT,S,3.76,2586,SMRT,,TRIB14396,Margin,AUTO,-,0,155.16,Equity/ETF,,10188.8,9723.36,,
07:00:33,SINT,S,3.73,1293,SMRT,,TRIB14396,Margin,AUTO,+,0,38.79,Equity/ETF,,4939.26,4822.89,,
07:00:39,SINT,S,3.69,1293,SMRT,,TRIB14396,Margin,AUTO,-,0,-12.93,Equity/ETF,,4732.38,4771.17,,
12:24:39,UAVS,B,4.08,5791,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-23627.3,23627.3,,
12:25:01,UAVS,S,4.13,1447,SMRT,,TRIB14396,Margin,AUTO,-,0,72.35,Equity/ETF,,6193.16,5976.11,,
12:25:03,UAVS,S,4.12,1086,SMRT,,TRIB14396,Margin,AUTO,-,0,43.44,Equity/ETF,,4604.64,4474.32,,
12:25:28,UAVS,S,4.08,1629,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,6646.32,6646.32,,
12:25:28,UAVS,S,4.06,1629,SMRT,,TRIB14396,Margin,AUTO,-,0,-32.58,Equity/ETF,,6516,6613.74,,
12:26:13,UAVS,B,4.11,5758,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-23665.4,23665.4,,
12:26:28,UAVS,S,4.08,5758,SMRT,,TRIB14396,Margin,AUTO,-,0,-172.74,Equity/ETF,,22974.4,23492.6,,
12:28:49,HCWB,B,2.27,8902,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-80830.2,20207.5,,
12:29:20,HCWB,S,2.34,4451,SMRT,,TRIB14396,Margin,AUTO,-,0,311.57,Equity/ETF,,41661.4,10415.3,,
12:29:34,HCWB,S,2.47,2225,SMRT,,TRIB14396,Margin,AUTO,-,0,445.00,Equity/ETF,,21983,5495.75,,
12:29:36,HCWB,S,2.49,2226,SMRT,,TRIB14396,Margin,AUTO,-,0,489.72,Equity/ETF,,22171,5542.74,,
12:34:13,UAVS,B,4.17,5692,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-23735.6,23735.6,,
12:34:33,UAVS,S,4.12,5692,SMRT,,TRIB14396,Margin,AUTO,-,0,-284.60,Equity/ETF,,22597.2,23451,,
12:46:23,HCWB,B,2.12,2329,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19749.9,4937.48,,
12:46:32,HCWB,S,2.11,2329,SMRT,,TRIB14396,Margin,AUTO,-,0,-23.29,Equity/ETF,,19656.8,4914.19,,
