Time,Symbol,Side,Price,Qty,Route,Cloid,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,Broker,Account,Type,
04:04:31,INTZ,B,1.25,5514,SMRT,AUTO,0,0.00,Equity/ETF,,-27570,6892.5,,,TRIB14396,Margin,
04:06:38,INTZ,B,1.11,6198,SMRT,AUTO,0,0.00,Equity/ETF,,-27519.1,6879.78,,,TRIB14396,Margin,
04:09:02,INTZ,S,1.18,5856,SMRT,AUTO,0,23.94,Equity/ETF,,27640.3,6910.08,,,TRIB14396,Margin,
04:09:24,INTZ,S,1.2,5856,SMRT,AUTO,0,141.06,Equity/ETF,,28108.8,7027.2,,,TRIB14396,Margin,
04:12:38,CCTG,B,3.42,2155,SMRT,AUTO,0,0.00,Equity/ETF,,-7370.1,7370.1,,,TRIB14396,Margin,
04:12:57,CCTG,S,3.46,2155,SMRT,AUTO,0,86.20,Equity/ETF,,7714.9,7456.3,,,TRIB14396,Margin,
04:14:03,CCTG,B,3.52,2071,SMRT,AUTO,0,0.00,Equity/ETF,,-7289.92,7289.92,,,TRIB14396,Margin,
04:14:13,CCTG,B,3.56,2043,SMRT,AUTO,0,0.00,Equity/ETF,,-7273.08,7273.08,,,TRIB14396,Margin,
04:14:17,CCTG,B,3.66,1994,SMRT,AUTO,0,0.00,Equity/ETF,,-7298.04,7298.04,,,TRIB14396,Margin,
04:14:41,CCTG,S,3.66,3054,SMRT,AUTO,0,247.12,Equity/ETF,,11919,11177.6,,,TRIB14396,Margin,
04:14:46,CCTG,S,3.73,1527,SMRT,AUTO,0,230.45,Equity/ETF,,6387.06,5695.71,,,TRIB14396,Margin,
04:15:08,CCTG,S,3.47,1527,SMRT,AUTO,0,-166.57,Equity/ETF,,4798.98,5298.69,,,TRIB14396,Margin,
05:22:55,INTZ,B,2.56,2808,SMRT,AUTO,0,0.00,Equity/ETF,,-28753.9,7188.48,,,TRIB14396,Margin,
05:23:36,INTZ,B,2.74,5300,SMRT,AUTO,0,0.00,Equity/ETF,,-58088,14522,,,TRIB14396,Margin,
05:23:56,INTZ,S,2.7,4054,SMRT,AUTO,0,90.56,Equity/ETF,,43783.2,10945.8,,,TRIB14396,Margin,
05:30:27,INTZ,B,2.38,12096,SMRT,AUTO,0,0.00,Equity/ETF,,-115154,28788.5,,,TRIB14396,Margin,
05:37:14,INTZ,S,2.34,8075,SMRT,AUTO,0,-926.36,Equity/ETF,,75582,18895.5,,,TRIB14396,Margin,
05:38:07,INTZ,S,2.33,4037,SMRT,AUTO,0,-503.49,Equity/ETF,,37624.8,9406.21,,,TRIB14396,Margin,
05:38:11,INTZ,S,2.35,4038,SMRT,AUTO,0,-422.86,Equity/ETF,,37957.2,9489.3,,,TRIB14396,Margin,
05:45:18,INTZ,B,2.47,11718,SMRT,AUTO,0,0.00,Equity/ETF,,-115774,28943.5,,,TRIB14396,Margin,
05:45:44,INTZ,S,2.56,11718,SMRT,AUTO,0,1054.62,Equity/ETF,,119992,29998.1,,,TRIB14396,Margin,
05:46:49,INTZ,B,2.59,11152,SMRT,AUTO,0,0.00,Equity/ETF,,-115535,28883.7,,,TRIB14396,Margin,
05:49:11,INTZ,B,2.51,2873,SMRT,AUTO,0,0.00,Equity/ETF,,-28844.9,7211.23,,,TRIB14396,Margin,
05:50:35,INTZ,B,2.55,5660,SMRT,AUTO,0,0.00,Equity/ETF,,-57732,14433,,,TRIB14396,Margin,
05:50:38,INTZ,B,2.58,5597,SMRT,AUTO,0,0.00,Equity/ETF,,-57761,14440.3,,,TRIB14396,Margin,
05:50:46,INTZ,S,2.62,12641,SMRT,AUTO,0,635.34,Equity/ETF,,132478,33119.4,,,TRIB14396,Margin,
05:50:48,INTZ,S,2.61,6320,SMRT,AUTO,0,254.44,Equity/ETF,,65980.8,16495.2,,,TRIB14396,Margin,
05:54:27,INTZ,B,2.53,5703,SMRT,AUTO,0,0.00,Equity/ETF,,-57714.4,14428.6,,,TRIB14396,Margin,
05:57:12,INTZ,S,2.43,12024,SMRT,AUTO,0,-1453.60,Equity/ETF,,116873,29218.3,,,TRIB14396,Margin,
06:01:36,INTZ,B,2.4,12000,SMRT,AUTO,0,0.00,Equity/ETF,,-115200,28800,,,TRIB14396,Margin,
06:04:22,INTZ,S,2.49,6000,SMRT,AUTO,0,540.00,Equity/ETF,,59760,14940,,,TRIB14396,Margin,
06:04:29,INTZ,S,2.49,3000,SMRT,AUTO,0,270.00,Equity/ETF,,29880,7470,,,TRIB14396,Margin,
