Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
11:50:20,BREA,S,1.12,6465,SMRT,,TRIB14396,Margin,AUTO,-,0,193.95,Equity/ETF,,28963.2,7240.8,,
11:50:11,BREA,B,1.09,6465,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-28187.4,7046.85,,
06:38:26,ATNF,B,3.77,7751,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29221.3,29221.3,,
06:38:48,ATNF,S,3.69,7751,SMRT,,TRIB14396,Margin,AUTO,-,0,-620.08,Equity/ETF,,26741,28601.2,,
06:39:05,ATNF,B,3.54,8287,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29336,29336,,
06:41:50,ATNF,S,3.55,4143,SMRT,,TRIB14396,Margin,AUTO,+,0,41.43,Equity/ETF,,14831.9,14707.6,,
06:41:55,ATNF,S,3.54,2072,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,7334.88,7334.88,,
06:42:58,ATNF,B,3.59,8000,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-28720,28720,,
06:44:23,ATNF,S,3.84,5036,SMRT,,TRIB14396,Margin,AUTO,+,0,1310.80,Equity/ETF,,23270.6,19338.2,,
06:44:33,ATNF,S,3.88,2518,SMRT,,TRIB14396,Margin,AUTO,-,0,756.12,Equity/ETF,,12038.2,9769.84,,
06:45:23,ATNF,S,4.96,1259,SMRT,,TRIB14396,Margin,AUTO,-,0,1737.78,Equity/ETF,,11458,6244.64,,
06:45:31,ATNF,B,4.55,1609,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-7320.95,7320.95,,
06:46:12,ATNF,S,4.42,1434,SMRT,,TRIB14396,Margin,AUTO,-,0,424.38,Equity/ETF,,7611.41,6338.28,,
06:46:17,ATNF,S,4.28,1434,SMRT,,TRIB14396,Margin,AUTO,-,0,223.62,Equity/ETF,,6808.37,6137.52,,
06:51:41,ATNF,B,4.31,1700,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-7327,7327,,
06:52:00,ATNF,S,4.4,1700,SMRT,,TRIB14396,Margin,AUTO,+,0,153.00,Equity/ETF,,7939,7480,,
06:56:41,ATNF,B,4.13,1756,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-7252.28,7252.28,,
06:59:12,CMND,B,1.94,3676,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-28525.8,7131.44,,
