Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,Value,P/L R,
06:20:06,JG,S,16.19,1,ARCA,ARCX,14540,Margin,V2501270009078,-,0,0.21,Equity/ETF,ARE,16.19,,
09:03:42,VCIG,S,1.75,17,ARCA,ARCX,14540,Margin,V2501270024081,-,0,1.19,Equity/ETF,ARE,29.75,,
06:20:00,JG,S,16.11,2,ARCA,ARCX,14540,Margin,V2501270009073,-,0,0.26,Equity/ETF,ARE,32.22,,
07:58:05,MLGO,S,2.72,25,ARCA,ARCX,14540,Margin,V2501270018153,-,0,-0.75,Equity/ETF,RR,68,,
07:58:05,MLGO,S,2.72,1,ARCA,ARCX,14540,Margin,V2501270018153,-,0,-0.03,Equity/ETF,RR,2.72,,
07:57:56,MLGO,B,2.75,26,ARCA,ARCX,14540,Margin,V2501270018147,-,0,0.00,Equity/ETF,RR,71.5,,
08:56:41,MLGO,B,2.45,14,ARCA,ARCX,14540,Margin,V2501270023124,-,0,0.00,Equity/ETF,RR,34.3,,
07:52:27,MLGO,S,2.87,12,ARCA,ARCX,14540,Margin,V2501270017432,-,0,0.24,Equity/ETF,X,34.44,,
06:19:31,JG,B,15.98,5,ARCA,ARCX,14540,Margin,V2501270009039,-,0,0.00,Equity/ETF,RBD,79.9,,
08:06:19,HOLO,B,2.09,7,ARCA,ARCX,14540,Margin,V2501270018845,-,0,0.00,Equity/ETF,X,14.63,,
06:51:18,ICCT,S,3.94,7,ARCA,ARCX,14540,Margin,V2501270010789,-,0,-1.68,Equity/ETF,A,27.58,,
06:51:18,ICCT,S,3.94,1,ARCA,ARCX,14540,Margin,V2501270010789,-,0,-0.24,Equity/ETF,A,3.94,,
06:51:18,ICCT,S,3.94,10,ARCA,ARCX,14540,Margin,V2501270010789,-,0,-2.40,Equity/ETF,A,39.4,,
05:45:17,JG,B,17.44,1,ARCA,ARCX,14540,Margin,V2501270007096,-,0,0.00,Equity/ETF,RBD,17.44,,
08:06:10,HOLO,S,2.08,14,ARCA,ARCX,14540,Margin,V2501270018821,-,0,0.39,Equity/ETF,AREI,29.12,,
08:06:02,HOLO,B,2.065,7,ARCA,ARCX,14540,Margin,V2501270018799,-,0,-0.00,Equity/ETF,RBD,14.455,,
09:03:07,VCIG,B,1.68,35,ARCA,ARCX,14540,Margin,V2501270024027,-,0,0.00,Equity/ETF,RR,58.8,,
07:57:34,MLGO,S,2.83,12,ARCA,ARCX,14540,Margin,V2501270018101,-,0,-0.06,Equity/ETF,ARE,33.96,,
07:57:24,MLGO,B,2.8,6,ARCA,ARCX,14540,Margin,V2501270018082,-,0,0.00,Equity/ETF,RR,16.8,,
08:55:48,HOLO,S,2.71,4,ARCA,ARCX,14540,Margin,V2501270023027,-,0,-0.31,Equity/ETF,RR,10.84,,
08:42:14,VCIG,S,1.5,13,ARCA,ARCX,14540,Margin,V2501270022133,-,0,0.07,Equity/ETF,A,19.5,,
08:42:14,VCIG,S,1.5,14,ARCA,ARCX,14540,Margin,V2501270022132,-,0,0.07,Equity/ETF,A,21,,
05:55:54,JG,S,17.18,5,ARCA,ARCX,14540,Margin,V2501270007837,-,0,0.65,Equity/ETF,ARE,85.9,,
