Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
09:44:11,NUKK,S,17.15,39,SMRT,,TRIB14396,Margin,AUTO,-,0,1.17,Equity/ETF,,672.36,668.85,,
09:44:09,NUKK,B,17.12,435,SMRT,,TRIB14396,Margin,AUTO,-,0,1496.88,Equity/ETF,,13596.2,7447.2,,
09:43:58,PLRZ,S,3.97,3832,SMRT,,TRIB14396,Margin,AUTO,-,0,633.82,Equity/ETF,,17114.5,15213,,
09:43:56,PLRZ,S,3.95,3831,SMRT,,TRIB14396,Margin,AUTO,-,0,557.03,Equity/ETF,,16803.6,15132.5,,
09:43:54,PLRZ,S,3.94,7663,SMRT,,TRIB14396,Margin,AUTO,-,0,1037.58,Equity/ETF,,33305,30192.2,,
09:43:35,PLRZ,B,3.77,7751,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29221.3,29221.3,,
09:43:26,PLRZ,B,3.84,7575,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29088,29088,,
09:43:03,PLRZ,S,3.67,1011,SMRT,,TRIB14396,Margin,AUTO,-,0,60.66,Equity/ETF,,3892.35,3710.37,,
09:43:01,PLRZ,S,3.78,1011,SMRT,,TRIB14396,Margin,AUTO,-,0,171.87,Equity/ETF,,4337.19,3821.58,,
09:42:57,PLRZ,S,3.74,2021,SMRT,,TRIB14396,Margin,AUTO,-,0,262.73,Equity/ETF,,8346.73,7558.54,,
09:42:50,PLRZ,S,3.67,4043,SMRT,,TRIB14396,Margin,AUTO,-,0,242.58,Equity/ETF,,15565.5,14837.8,,
09:42:42,PLRZ,B,3.61,8086,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29190.5,29190.5,,
09:42:39,PLRZ,S,3.6,7915,SMRT,,TRIB14396,Margin,AUTO,-,0,-1028.95,Equity/ETF,,25407.2,28494,,
09:42:31,PLRZ,B,3.73,7915,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29523,29523,,
09:41:12,PRZO,S,2.67,33624,SMAT,,TRIB14396,Margin,AUTO,-,0,3141.85,Equity/ETF,,359104,89776.1,,
09:39:29,PRZO,B,2.6,11111,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115554,28888.6,,
09:38:41,PRZO,B,2.57,11235,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115496,28873.9,,
09:38:39,PRZO,B,2.56,11278,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115487,28871.7,,
09:37:59,PRZO,S,2.45,35341,SMRT,,TRIB14396,Margin,AUTO,-,0,3.22,Equity/ETF,,346342,86585.5,,
09:37:48,PRZO,B,2.47,11673,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115329,28832.3,,
09:37:37,PRZO,B,2.44,11811,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115275,28818.8,,
09:37:24,PRZO,B,2.44,11857,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115724,28931.1,,
09:37:09,PRZO,S,2.35,12145,SMRT,,TRIB14396,Margin,AUTO,-,0,-242.90,Equity/ETF,,114163,28540.8,,
09:36:31,PRZO,B,2.37,12145,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115135,28783.7,,
09:35:36,PRZO,S,2.33,12244,SMRT,,TRIB14396,Margin,AUTO,-,0,-244.88,Equity/ETF,,114114,28528.5,,
09:35:20,PRZO,B,2.35,12244,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115094,28773.4,,
09:33:45,PRZO,S,2.27,12448,SMRT,,TRIB14396,Margin,AUTO,-,0,-497.92,Equity/ETF,,113028,28257,,
09:33:23,PRZO,B,2.31,12448,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115020,28754.9,,
09:33:00,PRZO,S,2.36,12195,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,115121,28780.2,,
09:32:57,PRZO,B,2.36,12195,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-115121,28780.2,,
09:32:09,NUKK,B,21.15,352,SMRT,,TRIB14396,Margin,AUTO,-,0,-88.00,Equity/ETF,,7004.8,7444.8,,
09:31:52,NUKK,S,20.9,748,SMRT,,TRIB14396,Margin,AUTO,+,0,695.64,Equity/ETF,,17720.1,15633.2,,
09:31:52,NUKK,SS,20.9,748,SMRT,,TRIB14396,Short,AUTO,-,0,0.00,Equity/ETF,,-15633.2,15633.2,,
09:31:46,NUKK,S,20.53,747,SMRT,,TRIB14396,Margin,AUTO,-,0,418.32,Equity/ETF,,16590.9,15335.9,,
09:31:25,NUKK,B,19.97,1495,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29855.2,29855.1,,
09:31:20,NUKK,S,18.8,1526,SMRT,,TRIB14396,Margin,AUTO,-,0,-1098.72,Equity/ETF,,25392.6,28688.8,,
09:31:13,NUKK,B,19.52,1526,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29787.5,29787.5,,
