Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
12:55:46,AZI,S,2.46,8426,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,20728,20728,,
12:53:30,AZI,B,2.46,8426,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20728,20728,,
12:51:53,AZI,S,2.43,4261,SMRT,,TRIB14396,Margin,AUTO,-,0,-127.83,Equity/ETF,,9970.74,10354.2,,
12:50:51,AZI,B,2.46,4261,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-10482.1,10482.1,,
12:50:10,AZI,S,2.52,4087,SMRT,,TRIB14396,Margin,AUTO,-,0,-204.35,Equity/ETF,,9686.19,10299.2,,
12:50:05,AZI,B,2.57,4087,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-10503.6,10503.6,,
12:34:54,AZI,S,2.4,4293,SMRT,,TRIB14396,Margin,AUTO,-,0,23.95,Equity/ETF,,10375.1,10303.2,,
12:34:43,AZI,S,2.46,4292,SMRT,,TRIB14396,Margin,AUTO,-,0,281.47,Equity/ETF,,11402.7,10558.3,,
12:34:41,AZI,S,2.45,8584,SMRT,,TRIB14396,Margin,AUTO,-,0,477.09,Equity/ETF,,22462.1,21030.8,,
12:34:16,AZI,B,2.44,8474,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20676.6,20676.6,,
12:31:34,AZI,B,2.35,8695,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20433.2,20433.2,,
11:04:42,FOXO,S,0.8267,15624,SMRT,,TRIB14396,Margin,AUTO,-,0,103.12,Equity/ETF,,51665.4,12916.4,,
11:03:56,FOXO,B,0.8201,15624,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-51253,12813.2,,
11:02:07,FOXO,S,0.8587,15360,SMRT,,TRIB14396,Margin,AUTO,-,0,87.55,Equity/ETF,,52758.5,13189.6,,
11:01:43,FOXO,B,0.853,15360,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-52408.3,13102.1,,
09:25:01,VMAR,S,4.01,4901,SMRT,,TRIB14396,Margin,AUTO,-,0,-49.01,Equity/ETF,,19506,19653,,
09:22:31,VMAR,B,4.02,4901,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19702,19702,,
09:07:35,VMAR,S,4.11,4769,SMRT,,TRIB14396,Margin,AUTO,-,0,-381.52,Equity/ETF,,18456,19600.6,,
09:06:47,VMAR,B,4.19,4769,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19982.1,19982.1,,
09:05:15,VMAR,S,4.11,4746,SMRT,,TRIB14396,Margin,AUTO,-,0,-379.68,Equity/ETF,,18367,19506.1,,
09:04:21,VMAR,B,4.19,4746,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19885.7,19885.7,,
08:40:24,VMAR,S,4.15,1812,SMRT,,TRIB14396,Margin,AUTO,-,0,63.49,Equity/ETF,,7710.26,7519.8,,
08:38:08,VMAR,S,4.26,1812,SMRT,,TRIB14396,Margin,AUTO,-,0,262.81,Equity/ETF,,8507.54,7719.12,,
08:38:07,VMAR,S,4.28,3623,SMRT,,TRIB14396,Margin,AUTO,-,0,597.93,Equity/ETF,,17300.2,15506.4,,
08:38:04,VMAR,B,4.27,2362,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-10085.7,10085.7,,
08:35:07,VMAR,B,4.04,4885,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19735.4,19735.4,,
08:26:42,VMAR,S,4.36,4629,SMRT,,TRIB14396,Margin,AUTO,-,0,-138.87,Equity/ETF,,19765.8,20182.4,,
08:26:38,VMAR,B,4.39,4629,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20321.3,20321.3,,
08:22:41,VMAR,S,4.3,4694,SMRT,,TRIB14396,Margin,AUTO,-,0,46.94,Equity/ETF,,20325,20184.2,,
08:22:01,VMAR,B,4.29,4694,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20137.3,20137.3,,
08:11:20,NCL,S,0.5008,1460,SMRT,,TRIB14396,Margin,AUTO,-,0,47.01,Equity/ETF,,2924.67,731.168,,
08:10:40,NCL,S,0.5177,1460,SMRT,,TRIB14396,Margin,AUTO,-,0,71.69,Equity/ETF,,3023.37,755.842,,
08:10:36,NCL,S,0.5286,2920,SMRT,,TRIB14396,Margin,AUTO,+,0,175.20,Equity/ETF,,6174.05,1543.51,,
08:10:30,NCL,S,0.5289,5839,SMRT,,TRIB14396,Margin,AUTO,-,0,352.09,Equity/ETF,,12353,3088.25,,
08:09:12,NCL,B,0.4686,11679,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-21891.1,5472.78,,
07:51:56,VMAR,S,4.29,4761,SMRT,,TRIB14396,Margin,AUTO,-,0,476.10,Equity/ETF,,21853,20424.7,,
07:50:56,VMAR,B,4.19,4761,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19948.6,19948.6,,
07:46:59,VMAR,S,4.25,1200,SMRT,,TRIB14396,Margin,AUTO,-,0,132.00,Equity/ETF,,5496,5100,,
07:46:32,VMAR,S,4.17,1200,SMRT,,TRIB14396,Margin,AUTO,-,0,36.00,Equity/ETF,,5112,5004,,
07:46:30,VMAR,S,4.16,2400,SMRT,,TRIB14396,Margin,AUTO,-,0,48.00,Equity/ETF,,10128,9984,,
07:46:14,VMAR,B,4.14,4800,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19872,19872,,
07:37:00,VMAR,S,3.78,5119,SMRT,,TRIB14396,Margin,AUTO,-,0,153.57,Equity/ETF,,19810.5,19349.8,,
07:36:36,VMAR,B,3.75,5119,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19196.2,19196.2,,
07:31:14,EMKR,S,3.02,5847,SMRT,,TRIB14396,Margin,AUTO,-,0,-58.47,Equity/ETF,,17482.5,17657.9,,
07:30:59,EMKR,B,3.03,5847,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-17716.4,17716.4,,
07:28:30,VMAR,S,3.95,4942,SMRT,,TRIB14396,Margin,AUTO,-,0,-98.84,Equity/ETF,,19224.4,19520.9,,
07:28:09,VMAR,B,3.97,4942,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19619.7,19619.7,,
07:23:54,VMAR,S,4.31,4524,SMRT,,TRIB14396,Margin,AUTO,-,0,-995.28,Equity/ETF,,16512.6,19498.4,,
07:22:39,VMAR,B,4.53,4524,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20493.7,20493.7,,
07:22:11,VMAR,S,4.44,4594,SMRT,,TRIB14396,Margin,AUTO,-,0,24.19,Equity/ETF,,20469.9,20397.4,,
07:21:23,VMAR,S,4.58,4594,SMRT,,TRIB14396,Margin,AUTO,+,0,667.35,Equity/ETF,,23042.6,21040.5,,
07:20:14,VMAR,B,4.47,4559,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20378.7,20378.7,,
07:20:11,VMAR,B,4.4,4629,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20367.6,20367.6,,
07:20:05,VMAR,S,4.34,9244,SMRT,,TRIB14396,Margin,AUTO,-,0,-462.20,Equity/ETF,,38732.4,40119,,
07:19:46,VMAR,B,4.39,4622,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20290.6,20290.6,,
