Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
06:02:27,BENF,B,2.37,3355,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-31805.4,7951.35,,
06:04:54,BENF,S,2.4,1677,SMRT,,TRIB14396,Margin,AUTO,-,0,50.31,Equity/ETF,,16099.2,4024.8,,
06:05:04,BENF,S,2.38,1678,SMRT,,TRIB14396,Margin,AUTO,-,0,16.78,Equity/ETF,,15974.6,3993.64,,
06:12:17,BENF,B,2.62,6369,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-66747.1,16686.8,,
06:12:30,BENF,S,2.63,6369,SMRT,,TRIB14396,Margin,AUTO,-,0,63.69,Equity/ETF,,67001.9,16750.5,,
06:13:50,BENF,B,2.61,6369,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-66492.4,16623.1,,
06:18:11,BENF,S,2.71,1592,SMRT,,TRIB14396,Margin,AUTO,+,0,159.20,Equity/ETF,,17257.3,4314.32,,
06:18:33,BENF,S,2.7,2388,SMRT,,TRIB14396,Margin,AUTO,-,0,214.92,Equity/ETF,,25790.4,6447.6,,
06:20:58,BENF,S,2.64,1194,SMRT,,TRIB14396,Margin,AUTO,-,0,35.82,Equity/ETF,,12608.6,3152.16,,
06:23:13,BENF,B,2.74,3099,SMRT,,TRIB14396,Margin,AUTO,-,0,-0.00,Equity/ETF,,-33965,8491.26,,
06:23:20,BENF,S,2.81,2147,SMRT,,TRIB14396,Margin,AUTO,+,0,227.97,Equity/ETF,,24132.3,6033.07,,
06:24:40,BENF,S,2.88,536,SMRT,,TRIB14396,Margin,AUTO,+,0,94.43,Equity/ETF,,6174.72,1543.68,,
06:25:07,BENF,S,3,805,SMRT,,TRIB14396,Margin,AUTO,+,0,238.42,Equity/ETF,,9660,2415,,
06:27:02,BENF,B,3.08,1447,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-4456.76,4456.76,,
06:27:52,BENF,S,2.88,2253,SMRT,,TRIB14396,Margin,AUTO,-,0,-147.40,Equity/ETF,,12584.3,6488.64,,
06:32:58,BENF,B,3.05,5825,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-17766.2,17766.2,,
06:34:41,BENF,S,2.82,5825,SMRT,,TRIB14396,Margin,AUTO,-,0,-1339.75,Equity/ETF,,12407.2,16426.5,,
06:52:02,BENF,B,2.56,6437,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-65914.9,16478.7,,
06:52:41,BENF,S,2.49,6437,SMRT,,TRIB14396,Margin,AUTO,-,0,-450.59,Equity/ETF,,64112.5,16028.1,,
06:53:34,BENF,B,2.54,6465,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-65684.4,16421.1,,
07:02:12,BENF,S,2.42,6465,SMRT,,TRIB14396,Margin,AUTO,-,0,-775.80,Equity/ETF,,62581.2,15645.3,,
07:03:57,AREN,B,1.82,7653,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-55713.8,13928.5,,
07:05:07,AREN,B,1.85,7614,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-56343.6,14085.9,,
07:08:05,AREN,S,1.7,15267,SMRT,,TRIB14396,Margin,AUTO,-,0,-2060.46,Equity/ETF,,103816,25953.9,,
07:12:38,GREE,B,4.03,4893,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19718.8,19718.8,,
07:14:33,GREE,S,4.11,2446,SMRT,,TRIB14396,Margin,AUTO,-,0,195.68,Equity/ETF,,10640.1,10053.1,,
07:18:13,GREE,S,4.02,2447,SMRT,,TRIB14396,Margin,AUTO,-,0,-24.47,Equity/ETF,,9763.53,9836.94,,
07:27:58,AREN,B,2.13,7092,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-60423.8,15106,,
07:28:22,AREN,S,2.11,7092,SMRT,,TRIB14396,Margin,AUTO,-,0,-141.84,Equity/ETF,,59856.5,14964.1,,
07:28:38,AREN,B,2.12,7125,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-60420,15105,,
07:29:33,AREN,B,2.18,7009,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-61118.5,15279.6,,
07:29:36,AREN,S,2.18,7067,SMRT,,TRIB14396,Margin,AUTO,-,0,213.75,Equity/ETF,,61624.2,15406.1,,
