Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,Value,P/L R,
06:57:07,EVAX,B,4.595,18,ARCA,ARCX,14540,Margin,V2502040011687,-,0,0.00,Equity/ETF,RBD,82.71,,
07:00:18,EVAX,B,4.86,16,ARCA,ARCX,14540,Margin,V2502040012248,-,0,0.00,Equity/ETF,RR,77.76,,
07:55:08,CPIX,S,2.88,25,ARCA,ARCX,14540,Margin,V2502040021762,-,0,1.00,Equity/ETF,ARE,72,,
08:17:50,AMOD,S,3.32,22,ARCA,ARCX,14540,Margin,V2502040024519,-,0,0.00,Equity/ETF,A,73.04,,
08:02:29,ACON,B,9.76,9,ARCA,ARCX,14540,Margin,V2502040022735,-,0,0.00,Equity/ETF,RBD,87.84,,
08:49:30,VLCN,S,5.98,10,ARCA,ARCX,14540,Margin,V2502040028720,-,0,0.19,Equity/ETF,RBD,59.8,,
08:49:30,VLCN,S,5.98,4,ARCA,ARCX,14540,Margin,V2502040028720,-,0,0.08,Equity/ETF,RBD,23.92,,
07:27:55,ACON,B,8.41,10,ARCA,ARCX,14540,Margin,V2502040018522,-,0,0.00,Equity/ETF,X,84.1,,
07:00:05,EVAX,S,4.87,25,ARCA,ARCX,14540,Margin,V2502040012158,-,0,4.08,Equity/ETF,AREI,121.75,,
07:54:24,CPIX,B,2.84,6,ARCA,ARCX,14540,Margin,V2502040021700,-,0,0.00,Equity/ETF,X,17.04,,
07:54:24,CPIX,B,2.84,19,ARCA,ARCX,14540,Margin,V2502040021700,-,0,0.00,Equity/ETF,X,53.96,,
08:17:35,AMOD,B,3.32,22,ARCA,ARCX,14540,Margin,V2502040024503,-,0,0.00,Equity/ETF,X,73.04,,
08:49:14,VLCN,B,5.84,8,ARCA,ARCX,14540,Margin,V2502040028690,-,0,0.00,Equity/ETF,RR,46.72,,
08:49:14,VLCN,B,5.84,6,ARCA,ARCX,14540,Margin,V2502040028690,-,0,0.00,Equity/ETF,RR,35.04,,
08:08:14,QNTM,S,6.39,12,ARCA,ARCX,14540,Margin,V2502040023564,-,0,-2.51,Equity/ETF,RBD,76.68,,
07:53:50,CPIX,S,2.79,13,ARCA,ARCX,14540,Margin,V2502040021636,-,0,0.26,Equity/ETF,ARE,36.27,,
07:53:36,CPIX,S,2.78,10,ARCA,ARCX,14540,Margin,V2502040021619,-,0,0.10,Equity/ETF,ARE,27.8,,
07:53:36,CPIX,S,2.78,2,ARCA,ARCX,14540,Margin,V2502040021619,-,0,0.02,Equity/ETF,ARE,5.56,,
09:08:24,VLCN,S,6.25,20,ARCA,ARCX,14540,Margin,V2502040030980,-,0,1.00,Equity/ETF,ARE,125,,
09:08:16,VLCN,B,6.2,20,ARCA,ARCX,14540,Margin,V2502040030715,-,0,0.00,Equity/ETF,ARE,124,,
07:44:46,ACON,B,10.63,8,ARCA,ARCX,14540,Margin,V2502040020641,-,0,0.00,Equity/ETF,RBD,85.04,,
11:35:09,CAPT,S,1.85,20,NSDQ,XNAS,14540,Margin,V2502040047406,-,0,0.00,Equity/ETF,R,37,,
08:07:45,QNTM,S,6.6,12,ARCA,ARCX,14540,Margin,V2502040023506,-,0,0.01,Equity/ETF,RR,79.2,,
07:26:45,QNTM,S,6.75,7,ARCA,ARCX,14540,Margin,V2502040018376,-,0,2.45,Equity/ETF,ARE,47.25,,
07:32:36,CPIX,S,2.83,12,ARCA,ARCX,14540,Margin,V2502040019209,-,0,0.84,Equity/ETF,X,33.96,,
07:32:33,CPIX,B,2.76,12,ARCA,ARCX,14540,Margin,V2502040019200,-,0,0.00,Equity/ETF,X,33.12,,
08:51:46,VLCN,S,6.43,7,ARCA,ARCX,14540,Margin,V2502040029180,-,0,0.51,Equity/ETF,RR,45.01,,
07:52:53,CPIX,B,2.77,25,ARCA,ARCX,14540,Margin,V2502040021537,-,0,0.00,Equity/ETF,X,69.25,,
11:34:18,CAPT,B,1.81,20,NSDQ,XNAS,14540,Margin,V2502040047350,-,0,0.00,Equity/ETF,R,36.2,,
06:59:47,EVAX,B,4.72,15,ARCA,ARCX,14540,Margin,V2502040012083,-,0,0.00,Equity/ETF,RR,70.8,,
06:59:47,EVAX,B,4.72,2,ARCA,ARCX,14540,Margin,V2502040012083,-,0,0.00,Equity/ETF,RR,9.44,,
11:33:37,CAPT,B,1.89,20,NSDQ,XNAS,14540,Margin,V2502040047299,-,0,0.00,Equity/ETF,R,37.8,,
07:03:02,EVAX,S,4.62,38,ARCA,ARCX,14540,Margin,V2502040012823,-,0,-7.54,Equity/ETF,RR,175.56,,
06:59:42,EVAX,B,4.75,17,ARCA,ARCX,14540,Margin,V2502040012037,-,0,0.00,Equity/ETF,RR,80.75,,
06:53:00,EVAX,S,4.41,18,ARCA,ARCX,14540,Margin,V2502040011426,-,0,-0.54,Equity/ETF,ARE,79.38,,
06:52:36,EVAX,B,4.44,18,ARCA,ARCX,14540,Margin,V2502040011408,-,0,0.00,Equity/ETF,RR,79.92,,
06:52:22,EVAX,S,4.4,11,ARCA,ARCX,14540,Margin,V2502040011387,-,0,-0.66,Equity/ETF,RR,48.4,,
06:52:22,EVAX,S,4.4,6,ARCA,ARCX,14540,Margin,V2502040011387,-,0,-0.36,Equity/ETF,RR,26.4,,
08:07:22,QNTM,B,6.6,10,ARCA,ARCX,14540,Margin,V2502040023406,-,0,0.00,Equity/ETF,RR,66,,
08:07:22,QNTM,B,6.59,2,ARCA,ARCX,14540,Margin,V2502040023406,-,0,0.00,Equity/ETF,RBD,13.18,,
08:07:21,QNTM,B,6.6,12,ARCA,ARCX,14540,Margin,V2502040023404,-,0,0.00,Equity/ETF,RR,79.2,,
06:52:12,EVAX,B,4.46,17,ARCA,ARCX,14540,Margin,V2502040011369,-,0,0.00,Equity/ETF,RR,75.82,,
07:26:05,QNTM,S,6.74,6,ARCA,ARCX,14540,Margin,V2502040018249,-,0,2.04,Equity/ETF,RR,40.44,,
07:26:02,QNTM,S,6.66,13,ARCA,ARCX,14540,Margin,V2502040018234,-,0,3.38,Equity/ETF,RR,86.58,,
06:59:37,EVAX,B,4.65,17,ARCA,ARCX,14540,Margin,V2502040012000,-,0,0.00,Equity/ETF,RR,79.05,,
07:37:08,QNTM,S,6.33,12,ARCA,ARCX,14540,Margin,V2502040019861,-,0,-2.04,Equity/ETF,RR,75.96,,
07:37:08,QNTM,S,6.33,1,ARCA,ARCX,14540,Margin,V2502040019861,-,0,-0.17,Equity/ETF,RR,6.33,,
08:47:56,VLCN,S,6.11,13,ARCA,ARCX,14540,Margin,V2502040028501,-,0,0.37,Equity/ETF,ARE,79.43,,
07:50:37,ACON,S,9.39,12,ARCA,ARCX,14540,Margin,V2502040021278,-,0,-6.90,Equity/ETF,RR,112.68,,
07:50:37,ACON,S,9.39,1,ARCA,ARCX,14540,Margin,V2502040021278,-,0,-0.58,Equity/ETF,RR,9.39,,
07:31:36,CPIX,S,3.15,24,ARCA,ARCX,14540,Margin,V2502040019016,-,0,2.00,Equity/ETF,X,75.6,,
