Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
08:21:29,UAVS,B,2.41,6666,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-64260.2,16065.1,,
08:21:25,UAVS,S,2.36,6666,SMRT,,TRIB14396,Margin,AUTO,-,0,-199.98,Equity/ETF,,62927,15731.8,,
09:42:12,UAVS,S,3.84,1880,SMRT,,TRIB14396,Margin,AUTO,-,0,-100.23,Equity/ETF,,6918.51,7219.2,,
08:55:59,UAVS,S,3.46,2040,SMRT,,TRIB14396,Margin,AUTO,-,0,90.64,Equity/ETF,,7330.32,7058.4,,
08:55:50,UAVS,B,3.47,1346,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-4670.62,4670.62,,
08:21:05,UAVS,B,2.39,6666,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-63727,15931.7,,
09:50:23,UAVS,S,3.83,1262,SMRT,,TRIB14396,Margin,AUTO,-,0,-88.34,Equity/ETF,,4568.44,4833.46,,
08:19:48,UAVS,S,2.28,1736,SMRT,,TRIB14396,Margin,AUTO,-,0,104.16,Equity/ETF,,15832.3,3958.08,,
08:19:45,UAVS,S,2.27,1736,SMRT,,TRIB14396,Margin,AUTO,-,0,86.80,Equity/ETF,,15762.9,3940.72,,
08:19:42,UAVS,S,2.27,3472,SMRT,,TRIB14396,Margin,AUTO,-,0,173.60,Equity/ETF,,31525.8,7881.44,,
08:19:39,UAVS,B,2.22,6944,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-61662.7,15415.7,,
09:43:40,UAVS,S,4.27,307,SMRT,,TRIB14396,Margin,AUTO,-,0,85.96,Equity/ETF,,1568.77,1310.89,,
09:43:40,UAVS,S,4.26,615,SMRT,,TRIB14396,Margin,AUTO,-,0,166.05,Equity/ETF,,3118.05,2619.9,,
08:18:59,UAVS,S,2.19,6944,SMRT,,TRIB14396,Margin,AUTO,-,0,-208.32,Equity/ETF,,60829.4,15207.4,,
08:44:30,UAVS,S,3.09,383,SMRT,,TRIB14396,Margin,AUTO,-,0,111.07,Equity/ETF,,4733.88,1183.47,,
09:43:39,UAVS,S,4.15,1229,SMRT,,TRIB14396,Margin,AUTO,+,0,196.64,Equity/ETF,,5690.27,5100.35,,
09:42:02,UAVS,B,4,1233,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-4932,4932,,
08:54:56,UAVS,S,3.43,694,SMRT,,TRIB14396,Margin,AUTO,+,0,83.28,Equity/ETF,,2630.26,2380.42,,
08:18:03,UAVS,B,2.22,6944,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-61662.7,15415.7,,
09:45:06,UAVS,S,4.02,308,SMRT,,TRIB14396,Margin,AUTO,-,0,9.24,Equity/ETF,,1265.88,1238.16,,
09:43:32,UAVS,S,4.03,2459,SMRT,,TRIB14396,Margin,AUTO,+,0,98.36,Equity/ETF,,10204.8,9909.77,,
08:43:44,UAVS,S,3.03,383,SMRT,,TRIB14396,Margin,AUTO,+,0,88.09,Equity/ETF,,4641.96,1160.49,,
08:43:41,UAVS,S,3.04,765,SMRT,,TRIB14396,Margin,AUTO,-,0,183.60,Equity/ETF,,9302.4,2325.6,,
08:43:28,UAVS,S,3.09,1530,SMRT,,TRIB14396,Margin,AUTO,-,0,443.70,Equity/ETF,,18910.8,4727.7,,
08:30:44,UAVS,S,2.95,763,SMRT,,TRIB14396,Margin,AUTO,-,0,106.82,Equity/ETF,,9003.4,2250.85,,
08:30:30,UAVS,S,2.92,762,SMRT,,TRIB14396,Margin,AUTO,-,0,83.82,Equity/ETF,,8900.16,2225.04,,
08:52:57,UAVS,B,3.31,1388,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-4594.28,4594.28,,
09:43:20,UAVS,B,3.99,4918,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19622.8,19622.8,,
08:30:28,UAVS,S,2.9,1524,SMRT,,TRIB14396,Margin,AUTO,-,0,137.16,Equity/ETF,,17678.4,4419.6,,
08:30:21,UAVS,S,2.83,3048,SMRT,,TRIB14396,Margin,AUTO,-,0,60.96,Equity/ETF,,34503.4,8625.84,,
11:42:57,MTEM,S,1,3554,SMRT,,TRIB14396,Margin,AUTO,-,0,-71.08,Equity/ETF,,14216,3554,,
09:41:42,UAVS,S,3.81,646,SMRT,,TRIB14396,Margin,AUTO,-,0,77.52,Equity/ETF,,2693.82,2461.26,,
08:13:42,UAVS,S,2.26,6969,SMRT,,TRIB14396,Margin,AUTO,-,0,383.66,Equity/ETF,,62999.8,15749.9,,
08:13:37,UAVS,S,2.27,6968,SMRT,,TRIB14396,Margin,AUTO,-,0,453.29,Equity/ETF,,63269.4,15817.4,,
08:13:34,UAVS,B,2.22,6944,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-61662.7,15415.7,,
08:13:31,UAVS,B,2.19,6993,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-61258.7,15314.7,,
08:42:32,UAVS,S,2.88,3061,SMRT,,TRIB14396,Margin,AUTO,+,0,244.88,Equity/ETF,,35262.7,8815.68,,
08:13:21,UAVS,S,2.15,6993,SMRT,,TRIB14396,Margin,AUTO,-,0,-279.72,Equity/ETF,,60139.8,15034.9,,
08:13:14,UAVS,B,2.19,6993,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-61258.7,15314.7,,
08:12:41,UAVS,S,2.12,3589,SMRT,,TRIB14396,Margin,AUTO,-,0,143.56,Equity/ETF,,30434.7,7608.68,,
08:12:20,UAVS,S,2.13,3588,SMRT,,TRIB14396,Margin,AUTO,-,0,179.40,Equity/ETF,,30569.8,7642.44,,
08:27:58,UAVS,B,2.81,6097,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-68530.3,17132.6,,
