Time,Symbol,Side,Price,Qty,Route,Cloid,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,Broker,Account,Type,
08:38:41,JTAI,S,9.62,2597,SMRT,AUTO,0,311.64,Equity/ETF,,25918.1,24983.1,,,TRIB14396,Margin,
08:38:23,JTAI,B,9.5,2597,SMRT,AUTO,0,0.00,Equity/ETF,,-24671.5,24671.5,,,TRIB14396,Margin,
08:36:32,JTAI,S,8.82,893,SMRT,AUTO,0,-590.73,Equity/ETF,,6104.08,7876.26,,,TRIB14396,Margin,
08:35:35,JTAI,S,10.23,892,SMRT,AUTO,0,667.65,Equity/ETF,,11128.1,9125.16,,,TRIB14396,Margin,
08:35:34,JTAI,B,9.9,625,SMRT,AUTO,0,0.00,Equity/ETF,,-6187.5,6187.5,,,TRIB14396,Margin,
08:35:22,JTAI,B,9.72,639,SMRT,AUTO,0,0.00,Equity/ETF,,-6211.08,6211.08,,,TRIB14396,Margin,
08:34:53,JTAI,S,9.25,521,SMRT,AUTO,0,293.34,Equity/ETF,,5699.26,4819.25,,,TRIB14396,Margin,
08:34:52,JTAI,S,9.16,1042,SMRT,AUTO,0,492.89,Equity/ETF,,11023.4,9544.72,,,TRIB14396,Margin,
08:34:51,JTAI,S,9.06,2084,SMRT,AUTO,0,777.39,Equity/ETF,,21213.2,18881,,,TRIB14396,Margin,
08:34:37,JTAI,B,8.95,1357,SMRT,AUTO,0,0.00,Equity/ETF,,-12145.2,12145.1,,,TRIB14396,Margin,
08:34:17,JTAI,B,8.56,2811,SMRT,AUTO,0,0.00,Equity/ETF,,-24062.2,24062.2,,,TRIB14396,Margin,
08:33:48,SKK,S,1.84,15189,SMRT,AUTO,0,-150.35,Equity/ETF,,111791,27947.8,,,TRIB14396,Margin,
08:32:55,SKK,B,1.87,7556,SMRT,AUTO,0,0.00,Equity/ETF,,-56518.9,14129.7,,,TRIB14396,Margin,
08:32:49,SKK,B,1.83,7633,SMRT,AUTO,0,0.00,Equity/ETF,,-55873.6,13968.4,,,TRIB14396,Margin,
08:31:46,SKK,S,1.83,7614,SMRT,AUTO,0,-76.14,Equity/ETF,,55734.5,13933.6,,,TRIB14396,Margin,
08:31:31,SKK,B,1.84,7614,SMRT,AUTO,0,0.00,Equity/ETF,,-56039,14009.8,,,TRIB14396,Margin,
08:28:09,SKK,S,1.75,15544,SMRT,AUTO,0,-155.44,Equity/ETF,,108808,27202,,,TRIB14396,Margin,
08:27:57,SKK,B,1.76,7772,SMRT,AUTO,0,0.00,Equity/ETF,,-54714.9,13678.7,,,TRIB14396,Margin,
08:27:57,SKK,B,1.76,7772,SMRT,AUTO,0,0.00,Equity/ETF,,-54714.9,13678.7,,,TRIB14396,Margin,
08:27:35,SKK,S,1.77,15604,SMRT,AUTO,0,312.08,Equity/ETF,,110476,27619.1,,,TRIB14396,Margin,
08:27:17,SKK,B,1.75,7792,SMRT,AUTO,0,0.00,Equity/ETF,,-54544,13636,,,TRIB14396,Margin,
08:27:17,SKK,B,1.75,7812,SMRT,AUTO,0,0.00,Equity/ETF,,-54684,13671,,,TRIB14396,Margin,
08:27:05,SKK,S,1.71,15830,SMRT,AUTO,0,317.02,Equity/ETF,,108277,27069.3,,,TRIB14396,Margin,
08:26:55,SKK,B,1.7,7894,SMRT,AUTO,0,0.00,Equity/ETF,,-53679.2,13419.8,,,TRIB14396,Margin,
08:26:51,SKK,B,1.68,7936,SMRT,AUTO,0,0.00,Equity/ETF,,-53329.9,13332.5,,,TRIB14396,Margin,
08:24:45,SKK,S,1.62,8021,SMRT,AUTO,0,-160.42,Equity/ETF,,51976.1,12994,,,TRIB14396,Margin,
08:24:33,SKK,B,1.64,8021,SMRT,AUTO,0,0.00,Equity/ETF,,-52617.8,13154.4,,,TRIB14396,Margin,
08:21:23,SKK,S,1.61,8000,SMRT,AUTO,0,-320.00,Equity/ETF,,51520,12880,,,TRIB14396,Margin,
08:21:03,SKK,B,1.65,8000,SMRT,AUTO,0,0.00,Equity/ETF,,-52800,13200,,,TRIB14396,Margin,
08:20:12,SKK,S,1.68,15957,SMRT,AUTO,0,320.84,Equity/ETF,,107231,26807.8,,,TRIB14396,Margin,
08:19:27,SKK,B,1.68,7936,SMRT,AUTO,0,0.00,Equity/ETF,,-53329.9,13332.5,,,TRIB14396,Margin,
08:19:11,SKK,B,1.64,8021,SMRT,AUTO,0,0.00,Equity/ETF,,-52617.8,13154.4,,,TRIB14396,Margin,
08:03:42,SBFM,S,2.72,6122,SMRT,AUTO,0,-428.54,Equity/ETF,,66607.4,16651.8,,,TRIB14396,Margin,
08:03:34,SBFM,B,2.79,6122,SMRT,AUTO,0,0.00,Equity/ETF,,-68321.5,17080.4,,,TRIB14396,Margin,
08:03:15,SBFM,S,2.83,5870,SMRT,AUTO,0,-1115.30,Equity/ETF,,13266.2,16612.1,,,TRIB14396,Margin,
08:02:50,SBFM,B,3.02,5870,SMRT,AUTO,0,0.00,Equity/ETF,,-17727.4,17727.4,,,TRIB14396,Margin,
08:00:27,LIFW,S,2.16,13581,SMRT,AUTO,0,-2140.82,Equity/ETF,,117340,29335,,,TRIB14396,Margin,
07:59:45,LIFW,B,2.19,3496,SMRT,AUTO,0,0.00,Equity/ETF,,-30625,7656.24,,,TRIB14396,Margin,
07:58:40,LIFW,B,2.25,3448,SMRT,AUTO,0,0.00,Equity/ETF,,-31032,7758,,,TRIB14396,Margin,
07:51:06,LIFW,B,2.42,6637,SMRT,AUTO,0,0.00,Equity/ETF,,-64246.2,16061.5,,,TRIB14396,Margin,
07:41:59,LIFW,S,2.27,6802,SMRT,AUTO,0,-272.08,Equity/ETF,,61762.2,15440.5,,,TRIB14396,Margin,
07:41:02,LIFW,B,2.31,6802,SMRT,AUTO,0,0.00,Equity/ETF,,-62850.5,15712.6,,,TRIB14396,Margin,
07:40:03,LIFW,S,2.37,8240,SMRT,AUTO,0,-576.10,Equity/ETF,,78115.2,19528.8,,,TRIB14396,Margin,
07:38:41,LIFW,B,2.4,1662,SMRT,AUTO,0,0.00,Equity/ETF,,-15955.2,3988.8,,,TRIB14396,Margin,
07:38:01,LIFW,B,2.45,6578,SMRT,AUTO,0,0.00,Equity/ETF,,-64464.4,16116.1,,,TRIB14396,Margin,
07:36:33,LIFW,S,2.32,3371,SMRT,AUTO,0,-134.84,Equity/ETF,,31282.9,7820.72,,,TRIB14396,Margin,
07:36:26,LIFW,S,2.38,3370,SMRT,AUTO,0,67.40,Equity/ETF,,32082.4,8020.6,,,TRIB14396,Margin,
07:36:04,LIFW,B,2.36,6741,SMRT,AUTO,0,0.00,Equity/ETF,,-63635,15908.8,,,TRIB14396,Margin,
07:34:41,LIFW,S,2.22,3488,SMRT,AUTO,0,69.76,Equity/ETF,,30973.4,7743.36,,,TRIB14396,Margin,
07:34:21,LIFW,B,2.2,3488,SMRT,AUTO,0,0.00,Equity/ETF,,-30694.4,7673.6,,,TRIB14396,Margin,
07:32:17,LIFW,S,2.06,3623,SMRT,AUTO,0,73.86,Equity/ETF,,29853.5,7463.38,,,TRIB14396,Margin,
07:32:15,LIFW,S,2.07,3623,SMRT,AUTO,0,110.09,Equity/ETF,,29998.4,7499.61,,,TRIB14396,Margin,
07:32:07,LIFW,B,2.08,3588,SMRT,AUTO,0,0.00,Equity/ETF,,-29852.2,7463.04,,,TRIB14396,Margin,
07:31:25,LIFW,B,2,3658,SMRT,AUTO,0,0.00,Equity/ETF,,-29264,7316,,,TRIB14396,Margin,
07:18:00,LIFW,S,2.18,3537,SMRT,AUTO,0,141.48,Equity/ETF,,30842.6,7710.66,,,TRIB14396,Margin,
07:17:41,LIFW,B,2.14,3537,SMRT,AUTO,0,0.00,Equity/ETF,,-30276.7,7569.18,,,TRIB14396,Margin,
07:12:56,LIFW,S,2.04,3597,SMRT,AUTO,0,-143.88,Equity/ETF,,29351.5,7337.88,,,TRIB14396,Margin,
07:12:53,LIFW,S,2.16,3597,SMRT,AUTO,0,287.76,Equity/ETF,,31078.1,7769.52,,,TRIB14396,Margin,
07:12:35,LIFW,B,2.08,7194,SMRT,AUTO,0,0.00,Equity/ETF,,-59854.1,14963.5,,,TRIB14396,Margin,
05:10:11,BENF,S,1.12,4565,SMRT,AUTO,0,-295.85,Equity/ETF,,20451.2,5112.8,,,TRIB14396,Margin,
05:04:54,BENF,B,1.16,2300,SMRT,AUTO,0,0.00,Equity/ETF,,-10672,2668,,,TRIB14396,Margin,
04:57:53,BENF,B,1.21,2265,SMRT,AUTO,0,0.00,Equity/ETF,,-10962.6,2740.65,,,TRIB14396,Margin,
