Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
09:30:05,BTCT,S,23.74,298,SMRT,,TRIB14396,Margin,AUTO,+,0,129.63,Equity/ETF,,3926.15,3537.26,,
09:29:57,BTCT,B,22.87,298,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6815.26,6815.26,,
09:25:54,CLDI,S,2.58,1575,SMRT,,TRIB14396,Margin,AUTO,-,0,-126.00,Equity/ETF,,16254,4063.5,,
09:22:13,CLDI,B,2.66,1575,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-16758,4189.5,,
09:14:59,BTCT,S,19.9,198,SMRT,,TRIB14396,Margin,AUTO,-,0,609.84,Equity/ETF,,5769.72,3940.2,,
09:14:52,BTCT,S,17.58,198,SMRT,,TRIB14396,Margin,AUTO,-,0,150.48,Equity/ETF,,3932.28,3480.84,,
09:14:47,BTCT,B,16.82,396,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6660.72,6660.72,,
07:56:23,KXIN,S,5.6,991,SMRT,,TRIB14396,Margin,AUTO,-,0,128.83,Equity/ETF,,5936.09,5549.6,,
07:56:07,KXIN,S,5.53,991,SMRT,,TRIB14396,Margin,AUTO,-,0,59.46,Equity/ETF,,5658.61,5480.23,,
07:55:42,KXIN,S,5.61,1981,SMRT,,TRIB14396,Margin,AUTO,+,0,277.34,Equity/ETF,,11945.4,11113.4,,
07:55:27,KXIN,B,5.47,3963,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-21677.6,21677.6,,
07:51:04,KXIN,S,5.57,3875,SMRT,,TRIB14396,Margin,AUTO,-,0,-271.25,Equity/ETF,,20770,21583.8,,
07:47:07,KXIN,B,5.64,3875,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-21855,21855,,
07:45:26,KXIN,S,5.76,3735,SMRT,,TRIB14396,Margin,AUTO,-,0,-634.95,Equity/ETF,,19608.8,21513.6,,
07:43:55,KXIN,B,5.93,3735,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-22148.5,22148.5,,
07:43:02,KXIN,S,5.7,1854,SMRT,,TRIB14396,Margin,AUTO,-,0,-537.66,Equity/ETF,,8954.82,10567.8,,
07:41:26,KXIN,B,5.99,1854,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-11105.5,11105.5,,
07:37:16,KXIN,S,5.65,1069,SMRT,,TRIB14396,Margin,AUTO,+,0,791.06,Equity/ETF,,8413.03,6039.85,,
07:35:24,KXIN,S,5.92,1068,SMRT,,TRIB14396,Margin,AUTO,-,0,1078.68,Equity/ETF,,9558.6,6322.56,,
07:35:18,KXIN,S,5.16,2136,SMRT,,TRIB14396,Margin,AUTO,+,0,534.00,Equity/ETF,,12623.8,11021.8,,
07:29:45,KXIN,B,4.91,4273,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20980.4,20980.4,,
07:18:05,KXIN,S,4.8,2127,SMRT,,TRIB14396,Margin,AUTO,-,0,-319.05,Equity/ETF,,9252.45,10209.6,,
07:17:36,KXIN,B,4.95,2127,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-10528.7,10528.6,,
