Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,Value,P/L R,
11:58:38,CMPX,S,2.115,23,NSDQ,XNAS,14540,Margin,V2501080058620,-,0,0.80,Equity/ETF,m,48.645,,
11:58:28,CMPX,B,2.08,23,NSDQ,XNAS,14540,Margin,V2501080058609,-,0,0.00,Equity/ETF,R,47.84,,
11:58:21,CMPX,S,2.23,21,NSDQ,XNAS,14540,Margin,V2501080058601,-,0,-0.84,Equity/ETF,R,46.83,,
11:58:15,CMPX,B,2.27,21,NSDQ,XNAS,14540,Margin,V2501080058587,-,0,0.00,Equity/ETF,A,47.67,,
11:51:08,CMPX,S,2.41,8,NSDQ,XNAS,14540,Margin,V2501080058211,-,0,-0.57,Equity/ETF,A,19.28,,
11:51:06,CMPX,S,2.4,7,NSDQ,XNAS,14540,Margin,V2501080058210,-,0,-0.56,Equity/ETF,R,16.8,,
11:51:05,CMPX,S,2.41,11,NSDQ,XNAS,14540,Margin,V2501080058209,-,0,-0.78,Equity/ETF,A,26.51,,
11:51:05,CMPX,S,2.41,3,NSDQ,XNAS,14540,Margin,V2501080058209,-,0,-0.21,Equity/ETF,A,7.23,,
11:50:36,CMPX,B,2.44,19,NSDQ,XNAS,14540,Margin,V2501080058148,-,0,0.00,Equity/ETF,R,46.36,,
11:50:08,CMPX,S,2.54,9,NSDQ,XNAS,14540,Margin,V2501080058099,-,0,-0.16,Equity/ETF,R,22.86,,
11:49:57,CMPX,S,2.62,18,NSDQ,XNAS,14540,Margin,V2501080058073,-,0,1.12,Equity/ETF,R,47.16,,
11:49:51,CMPX,B,2.635,18,NSDQ,XNAS,14540,Margin,V2501080058063,-,0,0.00,Equity/ETF,m,47.43,,
11:49:30,CMPX,S,2.6,19,NSDQ,XNAS,14540,Margin,V2501080058022,-,0,2.19,Equity/ETF,A,49.4,,
11:49:22,CMPX,B,2.52,19,NSDQ,XNAS,14540,Margin,V2501080057995,-,0,0.00,Equity/ETF,A,47.88,,
11:49:16,CMPX,B,2.45,19,NSDQ,XNAS,14540,Margin,V2501080057978,-,0,0.00,Equity/ETF,R,46.55,,
11:47:11,VRME,S,2.45,20,NSDQ,XNAS,14540,Margin,V2501080057760,-,0,1.80,Equity/ETF,R,49,,
11:46:31,VRME,B,2.36,20,NSDQ,XNAS,14540,Margin,V2501080057692,-,0,0.00,Equity/ETF,R,47.2,,
11:46:26,VRME,S,2.43,19,NSDQ,XNAS,14540,Margin,V2501080057685,-,0,-1.33,Equity/ETF,R,46.17,,
11:44:30,VRME,B,2.5,19,NSDQ,XNAS,14540,Margin,V2501080057517,-,0,0.00,Equity/ETF,R,47.5,,
11:44:25,VRME,S,2.57,18,NSDQ,XNAS,14540,Margin,V2501080057514,-,0,-1.62,Equity/ETF,R,46.26,,
11:43:48,VRME,B,2.66,18,NSDQ,XNAS,14540,Margin,V2501080057479,-,0,0.00,Equity/ETF,R,47.88,,
10:54:16,CURR,S,6.63,7,ARCA,ARCX,14540,Margin,V2501080050349,-,0,1.05,Equity/ETF,RBD,46.41,,
10:53:40,CURR,B,6.48,7,ARCA,ARCX,14540,Margin,V2501080050273,-,0,0.00,Equity/ETF,RBD,45.36,,
10:50:53,CURR,S,6.75,7,ARCA,ARCX,14540,Margin,V2501080049957,-,0,0.14,Equity/ETF,ARE,47.25,,
10:50:24,CURR,B,6.73,7,ARCA,ARCX,14540,Margin,V2501080049853,-,0,0.00,Equity/ETF,RR,47.11,,
10:47:59,CURR,S,7.04,7,ARCA,ARCX,14540,Margin,V2501080049405,-,0,0.98,Equity/ETF,ARE,49.28,,
10:47:42,CURR,B,6.9,7,ARCA,ARCX,14540,Margin,V2501080049353,-,0,0.00,Equity/ETF,RBD,48.3,,
10:47:17,CURR,S,6.76,7,ARCA,ARCX,14540,Margin,V2501080049267,-,0,0.70,Equity/ETF,ARE,47.32,,
10:47:14,CURR,B,6.66,7,ARCA,ARCX,14540,Margin,V2501080049255,-,0,0.00,Equity/ETF,RBD,46.62,,
09:30:25,WNW,S,3.16,16,NSDQ,XNAS,14540,Margin,V2501080033482,-,0,2.24,Equity/ETF,A,50.56,,
09:30:02,WNW,B,3.02,16,NSDQ,XNAS,14540,Margin,V2501080033290,-,0,0.00,Equity/ETF,A,48.32,,
09:27:28,TPET,S,2.04,23,NSDQ,XNAS,14540,Margin,V2501080033105,-,0,0.23,Equity/ETF,A,46.92,,
09:26:39,TPET,B,2.03,23,NSDQ,XNAS,14540,Margin,V2501080033049,-,0,0.00,Equity/ETF,R,46.69,,
09:22:20,TPET,S,2.17,21,NSDQ,XNAS,14540,Margin,V2501080032818,-,0,-0.21,Equity/ETF,R,45.57,,
09:21:58,TPET,B,2.18,21,NSDQ,XNAS,14540,Margin,V2501080032801,-,0,0.00,Equity/ETF,R,45.78,,
09:05:20,SILO,S,2.11,22,NSDQ,XNAS,14540,Margin,V2501080031825,-,0,1.10,Equity/ETF,R,46.42,,
09:05:11,SILO,B,2.06,22,NSDQ,XNAS,14540,Margin,V2501080031805,-,0,0.00,Equity/ETF,R,45.32,,
09:04:49,SILO,S,2.17,23,NSDQ,XNAS,14540,Margin,V2501080031761,-,0,2.30,Equity/ETF,A,49.91,,
09:04:39,SILO,B,2.07,23,NSDQ,XNAS,14540,Margin,V2501080031743,-,0,0.00,Equity/ETF,R,47.61,,
09:04:09,FRGT,S,2.2,18,NSDQ,XNAS,14540,Margin,V2501080031685,-,0,-7.56,Equity/ETF,R,39.6,,
09:02:05,FRGT,B,2.62,18,NSDQ,XNAS,14540,Margin,V2501080031464,-,0,0.00,Equity/ETF,R,47.16,,
08:57:16,XHG,S,1.53,31,NSDQ,XNAS,14540,Margin,V2501080030755,-,0,0.93,Equity/ETF,R,47.43,,
08:56:35,XHG,B,1.5,31,NSDQ,XNAS,14540,Margin,V2501080030700,-,0,0.00,Equity/ETF,R,46.5,,
08:46:35,XHG,S,1.84,26,NSDQ,XNAS,14540,Margin,V2501080028566,-,0,1.00,Equity/ETF,R,47.84,,
08:46:28,XHG,S,1.93,26,NSDQ,XNAS,14540,Margin,V2501080028553,-,0,3.34,Equity/ETF,A,50.18,,
08:45:53,XHG,B,1.72,22,NSDQ,XNAS,14540,Margin,V2501080028451,-,0,0.00,Equity/ETF,R,37.84,,
08:45:53,XHG,B,1.72,5,NSDQ,XNAS,14540,Margin,V2501080028451,-,0,0.00,Equity/ETF,R,8.6,,
08:44:53,XHG,B,1.89,25,NSDQ,XNAS,14540,Margin,V2501080028275,-,0,0.00,Equity/ETF,R,47.25,,
08:39:52,SILO,S,1.81,25,NSDQ,XNAS,14540,Margin,V2501080027646,-,0,-1.75,Equity/ETF,R,45.25,,
08:39:32,SILO,B,1.88,25,NSDQ,XNAS,14540,Margin,V2501080027601,-,0,0.00,Equity/ETF,R,47,,
08:38:47,SILO,S,1.91,24,NSDQ,XNAS,14540,Margin,V2501080027511,-,0,-1.44,Equity/ETF,R,45.84,,
08:38:32,SILO,B,1.97,24,NSDQ,XNAS,14540,Margin,V2501080027481,-,0,0.00,Equity/ETF,R,47.28,,
08:38:16,SILO,S,1.86,45,NSDQ,XNAS,14540,Margin,V2501080027440,-,0,-10.50,Equity/ETF,R,83.7,,
08:38:09,SILO,B,1.93,24,NSDQ,XNAS,14540,Margin,V2501080027395,-,0,0.00,Equity/ETF,R,46.32,,
08:35:54,SILO,B,2.28,21,NSDQ,XNAS,14540,Margin,V2501080027057,-,0,0.00,Equity/ETF,R,47.88,,
08:35:11,SILO,S,2.08,1,NSDQ,XNAS,14540,Margin,V2501080026947,-,0,-0.15,Equity/ETF,R,2.08,,
08:35:11,SILO,S,2.08,9,NSDQ,XNAS,14540,Margin,V2501080026947,-,0,-1.35,Equity/ETF,R,18.72,,
08:34:36,SILO,B,2.23,1,NSDQ,XNAS,14540,Margin,V2501080026825,-,0,0.00,Equity/ETF,R,2.23,,
08:34:36,SILO,B,2.23,9,NSDQ,XNAS,14540,Margin,V2501080026825,-,0,0.00,Equity/ETF,R,20.07,,
08:04:18,SXTP,S,2.85,17,ARCA,ARCX,14540,Margin,V2501080022849,-,0,0.51,Equity/ETF,ARE,48.45,,
08:04:02,SXTP,B,2.82,17,ARCA,ARCX,14540,Margin,V2501080022771,-,0,0.00,Equity/ETF,RR,47.94,,
07:59:28,NLSP,S,4.2,11,ARCA,ARCX,14540,Margin,V2501080022182,-,0,-0.11,Equity/ETF,ARE,46.2,,
07:59:05,NLSP,B,4.21,11,ARCA,ARCX,14540,Margin,V2501080022101,-,0,0.00,Equity/ETF,RR,46.31,,
07:59:02,NLSP,S,4.25,5,ARCA,ARCX,14540,Margin,V2501080022080,-,0,0.23,Equity/ETF,RR,21.25,,
07:58:58,NLSP,S,4.35,4,ARCA,ARCX,14540,Margin,V2501080022051,-,0,0.58,Equity/ETF,ARE,17.4,,
07:58:57,NLSP,S,4.36,2,ARCA,ARCX,14540,Margin,V2501080022046,-,0,0.31,Equity/ETF,ARE,8.72,,
07:58:57,NLSP,S,4.36,6,ARCA,ARCX,14540,Margin,V2501080022046,-,0,0.93,Equity/ETF,ARE,26.16,,
07:58:56,NLSP,S,4.34,16,ARCA,ARCX,14540,Margin,V2501080022042,-,0,2.17,Equity/ETF,ARE,69.44,,
07:58:54,NLSP,B,4.42,10,ARCA,ARCX,14540,Margin,V2501080022024,-,0,-0.00,Equity/ETF,RBD,44.2,,
07:58:44,NLSP,B,4.22,11,ARCA,ARCX,14540,Margin,V2501080021949,-,0,-0.00,Equity/ETF,X,46.42,,
07:58:31,NLSP,B,4.01,12,ARCA,ARCX,14540,Margin,V2501080021915,-,0,0.00,Equity/ETF,X,48.12,,
07:45:48,NLSP,S,4.14,12,ARCA,ARCX,14540,Margin,V2501080019956,-,0,3.15,Equity/ETF,RR,49.68,,
07:45:44,NLSP,S,3.97,12,ARCA,ARCX,14540,Margin,V2501080019928,-,0,1.11,Equity/ETF,RBD,47.64,,
07:45:42,NLSP,B,3.965,12,ARCA,ARCX,14540,Margin,V2501080019906,-,0,0.00,Equity/ETF,RBD,47.58,,
07:45:35,NLSP,B,3.79,12,ARCA,ARCX,14540,Margin,V2501080019882,-,0,0.00,Equity/ETF,RR,45.48,,
07:45:27,NLSP,S,3.965,13,ARCA,CROX,14540,Margin,V2501080019835,-,0,3.05,Equity/ETF,99,51.545,,
07:45:23,NLSP,B,3.73,13,ARCA,ARCX,14540,Margin,V2501080019806,-,0,0.00,Equity/ETF,RBD,48.49,,
07:44:56,NLSP,S,3.5,14,ARCA,ARCX,14540,Margin,V2501080019680,-,0,1.40,Equity/ETF,AREI,49,,
07:44:54,NLSP,B,3.4,14,ARCA,ARCX,14540,Margin,V2501080019668,-,0,0.00,Equity/ETF,X,47.6,,
07:44:27,NLSP,S,3.07,15,ARCA,ARCX,14540,Margin,V2501080019565,-,0,0.30,Equity/ETF,ARE,46.05,,
07:44:12,NLSP,B,3.05,15,ARCA,ARCX,14540,Margin,V2501080019517,-,0,0.00,Equity/ETF,RBD,45.75,,
07:40:16,CURR,S,4.42,22,ARCA,ARCX,14540,Margin,V2501080018674,-,0,3.30,Equity/ETF,ARE,97.24,,
07:40:07,CURR,B,4.27,22,ARCA,ARCX,14540,Margin,V2501080018609,-,0,0.00,Equity/ETF,RR,93.94,,
07:34:21,CURR,S,3.28,20,ARCA,ARCX,14540,Margin,V2501080017682,-,0,-3.60,Equity/ETF,RR,65.6,,
07:33:24,CURR,B,3.46,20,ARCA,ARCX,14540,Margin,V2501080017582,-,0,0.00,Equity/ETF,X,69.2,,
07:32:49,CURR,S,3.4,20,ARCA,ARCX,14540,Margin,V2501080017520,-,0,0.60,Equity/ETF,RBD,68,,
07:32:34,CURR,B,3.37,20,ARCA,ARCX,14540,Margin,V2501080017467,-,0,0.00,Equity/ETF,RR,67.4,,
07:27:21,ABSI,S,4.89,10,ARCA,ARCX,14540,Margin,V2501080016856,-,0,0.55,Equity/ETF,ARE,48.9,,
07:27:21,ABSI,S,4.9,10,ARCA,ARCX,14540,Margin,V2501080016860,-,0,0.65,Equity/ETF,RBD,49,,
07:27:16,ABSI,B,4.85,10,ARCA,ARCX,14540,Margin,V2501080016849,-,0,0.00,Equity/ETF,X,48.5,,
07:27:06,ABSI,B,4.82,10,ARCA,ARCX,14540,Margin,V2501080016839,-,0,0.00,Equity/ETF,RBD,48.2,,
06:51:30,ABSI,S,4.08,12,ARCA,ARCX,14540,Margin,V2501080012478,-,0,0.72,Equity/ETF,ARE,48.96,,
06:51:15,ABSI,B,4.02,12,ARCA,ARCX,14540,Margin,V2501080012471,-,0,0.00,Equity/ETF,RBD,48.24,,
06:50:40,ABSI,S,4.34,11,ARCA,ARCX,14540,Margin,V2501080012452,-,0,-0.77,Equity/ETF,RR,47.74,,
06:50:23,ABSI,B,4.41,11,ARCA,ARCX,14540,Margin,V2501080012438,-,0,0.00,Equity/ETF,RBD,48.51,,
06:49:21,ABSI,S,4.41,11,ARCA,ARCX,14540,Margin,V2501080012391,-,0,0.33,Equity/ETF,ARE,48.51,,
06:49:13,ABSI,B,4.38,11,ARCA,ARCX,14540,Margin,V2501080012382,-,0,0.00,Equity/ETF,RR,48.18,,
06:47:29,ABSI,S,4.27,39,ARCA,ARCX,14540,Margin,V2501080012264,-,0,-0.15,Equity/ETF,RR,166.53,,
06:47:25,ABSI,B,4.33,22,ARCA,ARCX,14540,Margin,V2501080012261,-,0,0.00,Equity/ETF,RBD,95.26,,
06:47:18,ABSI,S,4.25,17,ARCA,ARCX,14540,Margin,V2501080012254,-,0,0.83,Equity/ETF,ARE,72.25,,
06:46:48,ABSI,B,4.29,22,ARCA,ARCX,14540,Margin,V2501080012225,-,0,0.00,Equity/ETF,RBD,94.38,,
06:46:35,ABSI,S,4.17,11,ARCA,ARCX,14540,Margin,V2501080012213,-,0,1.45,Equity/ETF,X,45.87,,
