Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
13:26:18,XWEL,S,1.85,7780,SMRT,,TRIB14396,Margin,AUTO,-,0,170.11,Equity/ETF,,57572,14393,,
13:24:41,XWEL,S,1.88,7779,SMRT,,TRIB14396,Margin,AUTO,-,0,403.45,Equity/ETF,,58498.1,14624.5,,
13:24:05,XWEL,S,1.89,15558,SMRT,,TRIB14396,Margin,AUTO,-,0,962.49,Equity/ETF,,117618,29404.6,,
13:20:47,XWEL,B,1.77,16042,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-113577,28394.3,,
13:17:57,XWEL,B,1.89,15075,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-113967,28491.8,,
13:17:33,SIDU,S,3.61,32356,SMRT,,TRIB14396,Margin,AUTO,-,0,124.76,Equity/ETF,,117179,116805,,
13:15:51,SIDU,B,3.55,8219,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29177.5,29177.4,,
13:15:44,SIDU,B,3.55,8219,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29177.5,29177.4,,
13:11:12,SIDU,B,3.61,8086,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29190.5,29190.5,,
13:10:28,SIDU,B,3.72,7832,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29135,29135,,
08:34:19,NMHI,S,3.31,1078,SMRT,,TRIB14396,Margin,AUTO,-,0,-32.34,Equity/ETF,,3471.16,3568.18,,
10:52:03,WKEY,B,11.6,2564,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29742.4,29742.4,,
10:52:03,WKEY,B,11.6,2564,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29742.4,29742.4,,
08:34:12,NMHI,S,3.5,1077,SMRT,,TRIB14396,Margin,AUTO,-,0,172.32,Equity/ETF,,4286.46,3769.5,,
