Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
12:32:15,VCIG,S,6.93,939,SMRT,,TRIB14396,Margin,AUTO,-,0,46.95,Equity/ETF,,6648.12,6507.27,,
12:32:10,VCIG,B,6.88,939,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6460.32,6460.32,,
12:14:31,VCIG,S,7.41,916,SMRT,,TRIB14396,Margin,AUTO,-,0,293.12,Equity/ETF,,7666.92,6787.56,,
12:14:26,VCIG,S,7.64,915,SMRT,,TRIB14396,Margin,AUTO,-,0,503.25,Equity/ETF,,8500.35,6990.6,,
12:13:20,VCIG,B,7.09,1831,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-12981.8,12981.8,,
12:12:05,UMAC,S,8.01,1650,SMRT,,TRIB14396,Margin,AUTO,-,0,33.00,Equity/ETF,,13315.5,13216.5,,
12:10:00,UMAC,B,7.99,1650,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-13183.5,13183.5,,
12:04:05,VCIG,S,7.08,1863,SMRT,,TRIB14396,Margin,AUTO,-,0,260.82,Equity/ETF,,13972.5,13190,,
12:03:54,VCIG,B,6.94,1863,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-12929.2,12929.2,,
12:03:13,VCIG,S,7.36,1787,SMRT,,TRIB14396,Margin,AUTO,-,0,142.96,Equity/ETF,,13581.2,13152.3,,
12:02:56,VCIG,B,7.28,1787,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-13009.4,13009.4,,
12:01:54,VCIG,S,7.03,930,SMRT,,TRIB14396,Margin,AUTO,-,0,55.80,Equity/ETF,,6705.3,6537.9,,
12:01:50,VCIG,S,7.04,929,SMRT,,TRIB14396,Margin,AUTO,+,0,65.03,Equity/ETF,,6735.25,6540.16,,
12:01:38,VCIG,S,7.01,1858,SMRT,,TRIB14396,Margin,AUTO,-,0,74.32,Equity/ETF,,13247.5,13024.6,,
12:01:36,VCIG,B,6.97,3717,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-25907.5,25907.5,,
12:01:31,VCIG,S,6.77,3726,SMRT,,TRIB14396,Margin,AUTO,-,0,-670.68,Equity/ETF,,23213,25225,,
12:01:05,VCIG,B,6.95,3726,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-25895.7,25895.7,,
11:41:36,VCIG,S,6.38,2095,SMRT,,TRIB14396,Margin,AUTO,+,0,670.40,Equity/ETF,,15377.3,13366.1,,
11:41:34,VCIG,S,6.39,2094,SMRT,,TRIB14396,Margin,AUTO,-,0,691.02,Equity/ETF,,15453.7,13380.7,,
11:41:31,VCIG,B,6.06,4189,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-25385.3,25385.3,,
06:21:07,CYCN,S,2.39,6521,SMRT,,TRIB14396,Margin,AUTO,-,0,-717.31,Equity/ETF,,62340.8,15585.2,,
07:27:20,TRNR,B,4.6,4477,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20594.2,20594.2,,
08:34:48,VCIG,S,2.24,2632,SMRT,,TRIB14396,Margin,AUTO,-,0,176.13,Equity/ETF,,23582.7,5895.68,,
08:34:44,VCIG,S,2.31,5265,SMRT,,TRIB14396,Margin,AUTO,-,0,720.88,Equity/ETF,,48648.6,12162.1,,
08:34:39,VCIG,B,2.22,3472,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-30831.4,7707.84,,
06:20:17,CYCN,B,2.5,6521,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-65210,16302.5,,
08:34:14,VCIG,B,2.15,7058,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-60698.8,15174.7,,
09:16:33,UMAC,S,10.64,592,SMRT,,TRIB14396,Margin,AUTO,-,0,47.36,Equity/ETF,,6440.96,6298.88,,
09:30:17,UMAC,S,10.35,310,SMRT,,TRIB14396,Margin,AUTO,-,0,111.60,Equity/ETF,,3543.3,3208.5,,
08:46:58,VCIG,S,2.5,6593,SMRT,,TRIB14396,Margin,AUTO,-,0,329.65,Equity/ETF,,65930,16482.5,,
08:46:06,VCIG,B,2.45,6593,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-64611.4,16152.9,,
07:04:19,TRNR,S,4.17,631,SMRT,,TRIB14396,Margin,AUTO,-,0,208.23,Equity/ETF,,3255.96,2631.27,,
07:04:18,TRNR,S,4.2,1262,SMRT,,TRIB14396,Margin,AUTO,-,0,454.32,Equity/ETF,,6663.36,5300.4,,
07:04:17,TRNR,S,4.11,2525,SMRT,,TRIB14396,Margin,AUTO,+,0,681.75,Equity/ETF,,12423,10377.8,,
06:13:37,CYCN,S,2.28,3464,SMRT,,TRIB14396,Margin,AUTO,-,0,173.20,Equity/ETF,,31591.7,7897.92,,
07:25:33,TRNR,S,4.78,8715,SMRT,,TRIB14396,Margin,AUTO,-,0,-34.48,Equity/ETF,,41554.3,41657.7,,
08:45:29,VCIG,S,2.4,6465,SMRT,,TRIB14396,Margin,AUTO,-,0,-905.10,Equity/ETF,,62064,15516,,
06:12:13,CYCN,S,2.31,3464,SMRT,,TRIB14396,Margin,AUTO,-,0,277.12,Equity/ETF,,32007.4,8001.84,,
08:44:43,VCIG,B,2.54,6465,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-65684.4,16421.1,,
07:52:12,TRNR,S,4.63,1707,SMRT,,TRIB14396,Margin,AUTO,-,0,238.98,Equity/ETF,,8620.35,7903.41,,
06:10:00,CYCN,B,2.23,6928,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-61797.8,15449.4,,
09:16:02,UMAC,B,10.56,592,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6251.52,6251.52,,
07:25:05,TRNR,B,4.87,4304,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20960.5,20960.5,,
07:03:52,TRNR,B,3.84,5050,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-19392,19392,,
07:24:32,TRNR,B,4.7,4411,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20731.7,20731.7,,
07:51:36,TRNR,S,4.68,1707,SMRT,,TRIB14396,Margin,AUTO,-,0,324.33,Equity/ETF,,8961.75,7988.76,,
07:51:30,TRNR,S,4.72,1138,SMRT,,TRIB14396,Margin,AUTO,-,0,261.74,Equity/ETF,,6156.58,5371.36,,
07:23:05,TRNR,S,4.66,4373,SMRT,,TRIB14396,Margin,AUTO,-,0,-437.30,Equity/ETF,,19066.3,20378.2,,
08:42:23,VCIG,S,2.72,3106,SMRT,,TRIB14396,Margin,AUTO,-,0,-93.18,Equity/ETF,,33793.3,8448.32,,
09:15:32,UMAC,S,9.96,1254,SMRT,,TRIB14396,Margin,AUTO,+,0,145.47,Equity/ETF,,12926.2,12489.8,,
07:22:33,TRNR,B,4.76,4373,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20815.5,20815.5,,
08:42:11,VCIG,S,2.77,3105,SMRT,,TRIB14396,Margin,AUTO,+,0,62.10,Equity/ETF,,34403.4,8600.85,,
09:28:14,UMAC,S,10.27,310,SMRT,,TRIB14396,Margin,AUTO,-,0,86.80,Equity/ETF,,3444.1,3183.7,,
08:59:29,UMAC,S,8,1497,SMRT,,TRIB14396,Margin,AUTO,-,0,119.76,Equity/ETF,,12335.3,11976,,
09:15:10,UMAC,B,9.74,633,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6165.42,6165.42,,
08:59:23,UMAC,S,8.17,1497,SMRT,,TRIB14396,Margin,AUTO,+,0,374.25,Equity/ETF,,13353.2,12230.5,,
07:21:29,TRNR,S,4.83,542,SMRT,,TRIB14396,Margin,AUTO,-,0,10.84,Equity/ETF,,2650.38,2617.86,,
07:21:28,TRNR,S,4.82,541,SMRT,,TRIB14396,Margin,AUTO,-,0,5.41,Equity/ETF,,2623.85,2607.62,,
07:21:27,TRNR,S,4.82,1082,SMRT,,TRIB14396,Margin,AUTO,-,0,10.82,Equity/ETF,,5247.7,5215.24,,
09:14:50,UMAC,B,9.95,621,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6178.95,6178.95,,
07:21:27,TRNR,S,4.82,2164,SMRT,,TRIB14396,Margin,AUTO,-,0,21.64,Equity/ETF,,10495.4,10430.5,,
07:21:27,TRNR,S,4.83,4329,SMRT,,TRIB14396,Margin,AUTO,-,0,86.58,Equity/ETF,,21168.8,20909.1,,
07:21:20,TRNR,B,4.82,4329,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20865.8,20865.8,,
07:21:19,TRNR,B,4.8,4329,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20779.2,20779.2,,
07:21:15,TRNR,S,4.76,8570,SMRT,,TRIB14396,Margin,AUTO,-,0,-1199.80,Equity/ETF,,37193.8,40793.2,,
08:59:05,UMAC,B,7.92,2994,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-23712.5,23712.5,,
07:50:46,TRNR,B,4.49,4552,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20438.5,20438.5,,
04:51:13,KXIN,S,2.51,6479,SMRT,,TRIB14396,Margin,AUTO,+,0,129.58,Equity/ETF,,65049.2,16262.3,,
08:41:29,VCIG,B,2.75,6211,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-68321,17080.2,,
07:00:31,CYCN,S,2.59,3226,SMRT,,TRIB14396,Margin,AUTO,-,0,129.04,Equity/ETF,,33421.4,8355.34,,
07:00:28,CYCN,S,2.58,3225,SMRT,,TRIB14396,Margin,AUTO,-,0,96.75,Equity/ETF,,33282,8320.5,,
04:48:57,KXIN,B,2.49,6479,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-64530.8,16132.7,,
07:12:25,TRNR,S,4.19,4601,SMRT,,TRIB14396,Margin,AUTO,-,0,-1104.24,Equity/ETF,,15965.5,19278.2,,
09:14:23,UMAC,S,9.8,513,SMRT,,TRIB14396,Margin,AUTO,-,0,481.57,Equity/ETF,,6472.1,5027.4,,
09:14:19,UMAC,S,9.83,513,SMRT,,TRIB14396,Margin,AUTO,+,0,496.96,Equity/ETF,,6533.66,5042.79,,
07:00:01,CYCN,B,2.55,6451,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-65800.2,16450,,
09:32:32,UMAC,S,9.41,1285,SMRT,,TRIB14396,Margin,AUTO,-,0,-154.20,Equity/ETF,,11629.2,12091.9,,
09:26:26,UMAC,B,9.99,620,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6193.8,6193.8,,
07:11:13,TRNR,B,4.43,4601,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20382.4,20382.4,,
07:20:16,TRNR,B,4.9,4285,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20996.5,20996.5,,
09:14:04,UMAC,S,9.11,1026,SMRT,,TRIB14396,Margin,AUTO,-,0,255.19,Equity/ETF,,10112.4,9346.86,,
07:20:16,TRNR,B,4.9,4285,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-20996.5,20996.5,,
09:14:03,UMAC,S,9.01,2051,SMRT,,TRIB14396,Margin,AUTO,-,0,305.04,Equity/ETF,,19394.6,18479.5,,
08:29:20,JFBR,S,4.4,1232,SMRT,,TRIB14396,Margin,AUTO,-,0,492.80,Equity/ETF,,6899.2,5420.8,,
07:20:07,TRNR,S,4.7,8571,SMRT,,TRIB14396,Margin,AUTO,-,0,-1795.53,Equity/ETF,,34897.1,40283.7,,
09:38:11,UMAC,S,9.64,636,SMRT,,TRIB14396,Margin,AUTO,+,0,63.60,Equity/ETF,,6321.84,6131.04,,
08:29:00,JFBR,S,4.93,1231,SMRT,,TRIB14396,Margin,AUTO,-,0,1144.83,Equity/ETF,,9503.32,6068.83,,
07:19:45,TRNR,B,4.97,4249,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-21117.5,21117.5,,
