Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
11:52:25,QUBT,S,4.97,1209,SMRT,,TRIB14396,Margin,AUTO,-,0,-157.17,Equity/ETF,,5537.22,6008.73,,
11:50:39,QUBT,B,5.1,1209,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-6165.9,6165.9,,
09:27:09,SPAI,S,6.2,1796,SMRT,,TRIB14396,Margin,AUTO,-,0,-71.84,Equity/ETF,,10919.7,11135.2,,
09:25:30,SPAI,B,6.24,1796,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-11207,11207,,
09:22:08,SPAI,S,6.3,1802,SMRT,,TRIB14396,Margin,AUTO,-,0,144.16,Equity/ETF,,11785.1,11352.6,,
09:21:17,SPAI,B,6.22,1802,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-11208.4,11208.4,,
09:16:58,SPAI,S,6.53,1720,SMRT,,TRIB14396,Margin,AUTO,-,0,-154.80,Equity/ETF,,10767.2,11231.6,,
09:16:34,SPAI,B,6.62,1720,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-11386.4,11386.4,,
09:13:08,SPAI,S,6.75,2121,SMRT,,TRIB14396,Margin,AUTO,-,0,21.52,Equity/ETF,,14381.3,14316.8,,
09:12:19,SPAI,S,6.87,2121,SMRT,,TRIB14396,Margin,AUTO,-,0,276.04,Equity/ETF,,15399.4,14571.3,,
09:11:55,SPAI,S,6.99,4242,SMRT,,TRIB14396,Margin,AUTO,+,0,1061.12,Equity/ETF,,32834.9,29651.6,,
09:10:29,SPAI,B,6.7,1704,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-11416.8,11416.8,,
09:10:16,SPAI,B,6.76,1694,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-11451.4,11451.4,,
