Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
07:03:31,SUGP,S,2.27,6787,SMRT,,TRIB14396,Margin,AUTO,-,0,-271.48,Equity/ETF,,61626,15406.5,,
07:03:05,SUGP,B,2.31,6787,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-62711.9,15678,,
07:09:04,SUGP,S,2.51,1649,SMRT,,TRIB14396,Margin,AUTO,-,0,49.47,Equity/ETF,,16556,4138.99,,
07:07:51,SUGP,S,2.61,1648,SMRT,,TRIB14396,Margin,AUTO,-,0,214.24,Equity/ETF,,17205.1,4301.28,,
07:07:35,SUGP,S,2.64,3296,SMRT,,TRIB14396,Margin,AUTO,-,0,527.36,Equity/ETF,,34805.8,8701.44,,
07:06:53,SUGP,B,2.48,6593,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-65402.6,16350.6,,
07:06:10,SUGP,S,2.34,850,SMRT,,TRIB14396,Margin,AUTO,-,0,25.70,Equity/ETF,,7956,1989,,
07:05:55,SUGP,S,2.35,849,SMRT,,TRIB14396,Margin,AUTO,-,0,34.16,Equity/ETF,,7980.6,1995.15,,
07:05:52,SUGP,S,2.4,1699,SMRT,,TRIB14396,Margin,AUTO,-,0,153.32,Equity/ETF,,16310.4,4077.6,,
07:46:47,PWM,S,1.59,1057,SMRT,,TRIB14396,Margin,AUTO,+,0,179.69,Equity/ETF,,6722.52,1680.63,,
07:05:31,SUGP,S,2.41,3397,SMRT,,TRIB14396,Margin,AUTO,-,0,340.51,Equity/ETF,,32747.1,8186.77,,
07:05:31,SUGP,S,2.42,6795,SMRT,,TRIB14396,Margin,AUTO,+,0,749.07,Equity/ETF,,65775.6,16443.9,,
07:05:18,SUGP,B,2.34,6741,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-63095.8,15773.9,,
07:05:10,SUGP,B,2.28,6849,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-62462.9,15615.7,,
07:46:17,PWM,S,1.5,1056,SMRT,,TRIB14396,Margin,AUTO,-,0,84.48,Equity/ETF,,6336,1584,,
07:05:05,SUGP,S,2.27,6802,SMRT,,TRIB14396,Margin,AUTO,-,0,-340.10,Equity/ETF,,61762.2,15440.5,,
07:46:11,PWM,S,1.48,2112,SMRT,,TRIB14396,Margin,AUTO,-,0,126.72,Equity/ETF,,12503,3125.76,,
07:45:55,PWM,B,1.42,4225,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-23998,5999.5,,
07:04:16,SUGP,B,2.32,6802,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-63122.6,15780.6,,
