Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,Value,P/L R,
16:24:56,VNCE,S,3.84,10,NSDQ,ARCX,14540,Margin,V2501220066083,-,0,1.35,Equity/ETF,A,38.4,,
16:24:37,VNCE,B,3.82,5,NSDQ,XNAS,14540,Margin,V2501220066067,-,0,0.00,Equity/ETF,A,19.1,,
16:24:31,VNCE,B,3.59,5,NSDQ,XNAS,14540,Margin,V2501220066060,-,0,0.00,Equity/ETF,R,17.95,,
16:24:07,VNCE,S,3.5,2,NSDQ,ARCX,14540,Margin,V2501220066034,-,0,-0.16,Equity/ETF,RBN,7,,
16:24:07,VNCE,S,3.52,3,NSDQ,ARCX,14540,Margin,V2501220066034,-,0,-0.18,Equity/ETF,RBN,10.56,,
16:24:01,VNCE,B,3.58,5,NSDQ,XNAS,14540,Margin,V2501220066029,-,0,0.00,Equity/ETF,R,17.9,,
08:28:45,BLBX,S,3.31,5,NSDQ,ARCX,14540,Margin,V2501220023357,-,0,0.15,Equity/ETF,A,16.55,,
10:50:13,BLBX,S,4.51,8,ARCA,ARCX,14540,Margin,V2501220044832,-,0,-0.88,Equity/ETF,A,36.08,,
07:00:10,NEHC,S,5.18,15,ARCA,ARCX,14540,Margin,V2501220011191,-,0,3.00,Equity/ETF,ARE,77.7,,
10:50:12,BLBX,S,4.5001,8,ARCA,VLCT,14540,Margin,V2501220044831,-,0,-0.96,Equity/ETF,,36.0008,,
08:28:42,BLBX,B,3.28,5,NSDQ,XNAS,14540,Margin,V2501220023345,-,0,0.00,Equity/ETF,R,16.4,,
08:57:37,BLBX,B,3.47,5,NSDQ,XNAS,14540,Margin,V2501220027495,-,0,0.00,Equity/ETF,R,17.35,,
09:36:19,ASST,S,1.46,12,NSDQ,XNAS,14540,Margin,V2501220032475,-,0,-0.60,Equity/ETF,R,17.52,,
07:00:04,NEHC,B,4.98,15,ARCA,ARCX,14540,Margin,V2501220011168,-,0,0.00,Equity/ETF,RR,74.7,,
08:33:22,BLBX,B,3.39,5,NSDQ,XNAS,14540,Margin,V2501220023933,-,0,0.00,Equity/ETF,R,16.95,,
08:49:42,BLBX,S,3.44,5,NSDQ,ARCX,14540,Margin,V2501220026534,-,0,0.50,Equity/ETF,A,17.2,,
08:33:18,BLBX,B,3.46,5,NSDQ,XNAS,14540,Margin,V2501220023917,-,0,0.00,Equity/ETF,R,17.3,,
08:38:03,BLBX,B,3.25,6,NSDQ,XNAS,14540,Margin,V2501220024732,-,0,0.00,Equity/ETF,R,19.5,,
08:21:30,BLBX,B,3.22,6,NSDQ,XNAS,14540,Margin,V2501220022532,-,0,0.00,Equity/ETF,R,19.32,,
08:49:31,BLBX,B,3.34,5,NSDQ,XNAS,14540,Margin,V2501220026489,-,0,0.00,Equity/ETF,R,16.7,,
08:33:06,BLBX,B,3.55,5,NSDQ,XNAS,14540,Margin,V2501220023880,-,0,0.00,Equity/ETF,R,17.75,,
09:22:21,BLBX,S,3.29,10,NSDQ,ARCX,14540,Margin,V2501220030089,-,0,0.10,Equity/ETF,A,32.9,,
09:22:10,BLBX,B,3.25,5,NSDQ,XNAS,14540,Margin,V2501220030071,-,0,0.00,Equity/ETF,R,16.25,,
08:37:49,BLBX,B,3.54,5,NSDQ,XNAS,14540,Margin,V2501220024643,-,0,0.00,Equity/ETF,R,17.7,,
10:49:09,BLBX,B,4.62,8,ARCA,ARCX,14540,Margin,V2501220044665,-,0,0.00,Equity/ETF,RR,36.96,,
10:49:09,BLBX,B,4.62,8,ARCA,ARCX,14540,Margin,V2501220044665,-,0,0.00,Equity/ETF,RR,36.96,,
09:31:28,BLBX,S,3.22,10,NSDQ,ARCX,14540,Margin,V2501220031134,-,0,-0.40,Equity/ETF,A,32.2,,
09:21:17,BLBX,B,3.31,5,NSDQ,XNAS,14540,Margin,V2501220029990,-,0,0.00,Equity/ETF,R,16.55,,
09:21:06,BLBX,S,3.34,5,NSDQ,ARCX,14540,Margin,V2501220029981,-,0,-0.35,Equity/ETF,A,16.7,,
08:59:37,BLBX,S,3.66,20,NSDQ,ARCX,14540,Margin,V2501220027889,-,0,-1.40,Equity/ETF,A,73.2,,
09:35:26,ASST,B,1.51,12,NSDQ,XNAS,14540,Margin,V2501220032214,-,0,0.00,Equity/ETF,R,18.12,,
09:31:07,BLBX,B,3.27,5,NSDQ,XNAS,14540,Margin,V2501220031031,-,0,0.00,Equity/ETF,R,16.35,,
09:31:07,BLBX,B,3.25,5,NSDQ,XNAS,14540,Margin,V2501220031029,-,0,0.00,Equity/ETF,A,16.25,,
09:35:22,ASST,S,1.47,12,NSDQ,XNAS,14540,Margin,V2501220032185,-,0,-0.84,Equity/ETF,R,17.64,,
09:20:15,BLBX,B,3.41,5,NSDQ,XNAS,14540,Margin,V2501220029881,-,0,0.00,Equity/ETF,R,17.05,,
08:59:15,BLBX,B,3.73,20,NSDQ,XNAS,14540,Margin,V2501220027837,-,0,0.00,Equity/ETF,R,74.6,,
10:46:28,BLBX,S,4.0301,8,ARCA,VLCT,14540,Margin,V2501220044159,-,0,-0.20,Equity/ETF,,32.2408,,
08:32:09,BLBX,S,3.49,5,NSDQ,ARCX,14540,Margin,V2501220023725,-,0,0.30,Equity/ETF,A,17.45,,
10:46:16,BLBX,B,4.17,4,ARCA,ARCX,14540,Margin,V2501220044117,-,0,0.00,Equity/ETF,RR,16.68,,
08:25:52,BLBX,S,3.02,6,NSDQ,ARCX,14540,Margin,V2501220023087,-,0,-0.66,Equity/ETF,A,18.12,,
08:25:52,BLBX,S,3.02,6,NSDQ,MEMX,14540,Margin,V2501220023086,-,0,-0.66,Equity/ETF,61,18.12,,
08:37:15,BLBX,S,3.47,7,NSDQ,ARCX,14540,Margin,V2501220024509,-,0,0.36,Equity/ETF,A,24.29,,
10:46:08,BLBX,B,3.94,4,ARCA,ARCX,14540,Margin,V2501220044091,-,0,0.00,Equity/ETF,RR,15.76,,
09:04:53,BLBX,S,3.4,5,NSDQ,ARCX,14540,Margin,V2501220028524,-,0,-0.40,Equity/ETF,A,17,,
09:04:45,BLBX,B,3.48,5,NSDQ,XNAS,14540,Margin,V2501220028508,-,0,0.00,Equity/ETF,R,17.4,,
08:32:00,BLBX,B,3.43,5,NSDQ,XNAS,14540,Margin,V2501220023694,-,0,0.00,Equity/ETF,R,17.15,,
09:34:51,ASST,B,1.54,12,NSDQ,XNAS,14540,Margin,V2501220032046,-,0,0.00,Equity/ETF,R,18.48,,
08:31:51,BLBX,S,3.39,9,NSDQ,ARCX,14540,Margin,V2501220023665,-,0,0.27,Equity/ETF,A,30.51,,
08:31:51,BLBX,S,3.39,1,NSDQ,ARCX,14540,Margin,V2501220023665,-,0,0.03,Equity/ETF,A,3.39,,
08:31:36,BLBX,B,3.34,5,NSDQ,XNAS,14540,Margin,V2501220023644,-,0,0.00,Equity/ETF,R,16.7,,
09:16:03,BLBX,S,3.27,5,NSDQ,ARCX,14540,Margin,V2501220029474,-,0,-0.35,Equity/ETF,RBN,16.35,,
09:04:02,BLBX,S,3.42,5,NSDQ,ARCX,14540,Margin,V2501220028430,-,0,0.20,Equity/ETF,A,17.1,,
08:40:40,BLBX,S,3.25,12,NSDQ,ARCX,14540,Margin,V2501220025206,-,0,0.72,Equity/ETF,A,39,,
10:48:32,BLBX,S,4.55,8,ARCA,ARCX,14540,Margin,V2501220044499,-,0,1.56,Equity/ETF,A,36.4,,
08:31:25,BLBX,B,3.38,5,NSDQ,XNAS,14540,Margin,V2501220023626,-,0,0.00,Equity/ETF,R,16.9,,
08:36:35,BLBX,S,3.38,6,NSDQ,ARCX,14540,Margin,V2501220024423,-,0,-0.23,Equity/ETF,A,20.28,,
08:40:37,BLBX,S,3.25,10,NSDQ,ARCX,14540,Margin,V2501220025186,-,0,0.60,Equity/ETF,A,32.5,,
08:24:24,BLBX,B,3.04,6,NSDQ,XNAS,14540,Margin,V2501220022956,-,0,0.00,Equity/ETF,R,18.24,,
09:15:12,BLBX,B,3.34,5,NSDQ,XNAS,14540,Margin,V2501220029391,-,0,0.00,Equity/ETF,R,16.7,,
08:40:37,BLBX,S,3.25,2,NSDQ,ARCX,14540,Margin,V2501220025186,-,0,0.12,Equity/ETF,A,6.5,,
08:01:47,BLBX,S,2.31,8,ARCA,ARCX,14540,Margin,V2501220018369,-,0,0.08,Equity/ETF,A,18.48,,
10:45:19,BLBX,S,4.07,8,ARCA,ARCX,14540,Margin,V2501220043961,-,0,0.24,Equity/ETF,A,32.56,,
09:03:44,BLBX,B,3.38,5,NSDQ,XNAS,14540,Margin,V2501220028397,-,0,0.00,Equity/ETF,R,16.9,,
10:51:06,BLBX,S,4.4001,17,ARCA,VLCT,14540,Margin,V2501220044970,-,0,-1.53,Equity/ETF,,74.8017,,
10:45:11,BLBX,B,4.08,4,ARCA,ARCX,14540,Margin,V2501220043943,-,0,0.00,Equity/ETF,RR,16.32,,
