Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,Value,P/L R,
07:25:41,AKYA,B,4.15,23,ARCA,ARCX,14540,Margin,V2501100017289,-,0,0.00,Equity/ETF,RR,95.45,,
04:52:06,VMAR,S,3.19,7,ARCA,ARCX,14540,Margin,V2501100004542,-,0,0.45,Equity/ETF,ARE,22.33,,
12:10:24,DATS,B,7.42,6,ARCA,ARCX,14540,Margin,V2501100052518,-,0,0.00,Equity/ETF,RR,44.52,,
09:47:56,VMAR,B,3.48,4,ARCA,ARCX,14540,Margin,V2501100034874,-,0,0.00,Equity/ETF,X,13.92,,
09:47:56,VMAR,B,3.48,51,ARCA,ARCX,14540,Margin,V2501100034874,-,0,0.00,Equity/ETF,X,177.48,,
04:52:03,VMAR,S,3.13,15,ARCA,ARCX,14540,Margin,V2501100004536,-,0,0.07,Equity/ETF,ARE,46.95,,
06:33:06,IINN,S,1.52,61,ARCA,ARCX,14540,Margin,V2501100012410,-,0,0.61,Equity/ETF,RR,92.72,,
12:24:10,BAER,B,4.17,46,ARCA,ARCX,14540,Margin,V2501100053584,-,0,0.00,Equity/ETF,RR,191.82,,
06:48:30,IINN,S,1.66,14,ARCA,ARCX,14540,Margin,V2501100013461,-,0,-0.19,Equity/ETF,RR,23.24,,
06:48:30,IINN,S,1.66,14,ARCA,ARCX,14540,Margin,V2501100013460,-,0,-0.19,Equity/ETF,RR,23.24,,
04:51:53,VMAR,B,3.17,15,ARCA,ARCX,14540,Margin,V2501100004524,-,0,0.00,Equity/ETF,RR,47.55,,
07:15:24,AKYA,B,4.22,23,ARCA,ARCX,14540,Margin,V2501100016230,-,0,0.00,Equity/ETF,X,97.06,,
06:48:24,IINN,S,1.71,28,ARCA,ARCX,14540,Margin,V2501100013445,-,0,1.01,Equity/ETF,ARE,47.88,,
06:48:22,IINN,S,1.7,55,ARCA,ARCX,14540,Margin,V2501100013444,-,0,1.44,Equity/ETF,ARE,93.5,,
04:36:16,VMAR,S,2.65,24,ARCA,ARCX,14540,Margin,V2501100003276,-,0,-4.27,Equity/ETF,X,63.6,,
04:36:16,VMAR,S,2.66,10,ARCA,ARCX,14540,Margin,V2501100003276,-,0,-1.68,Equity/ETF,RBD,26.6,,
07:25:37,AKYA,S,4.2,11,ARCA,ARCX,14540,Margin,V2501100017270,-,0,-1.87,Equity/ETF,RR,46.2,,
12:24:00,BAER,S,4.05,16,ARCA,ARCX,14540,Margin,V2501100053560,-,0,-0.96,Equity/ETF,X,64.8,,
12:24:00,BAER,S,4.05,1,ARCA,ARCX,14540,Margin,V2501100053560,-,0,-0.06,Equity/ETF,RR,4.05,,
