Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,Liq,ECNFee,P / L,SecType,LiqType,BP,Value,P/L R,
11:58:06,PRTG,S,7.77,3627,SMRT,,TRIB14396,Margin,AUTO,-,0,-1430.04,Equity/ETF,,23891.7,28181.8,,
11:57:28,PRTG,B,8.09,1831,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-14812.8,14812.8,,
11:57:08,PRTG,B,8.24,1796,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-14799,14799,,
11:56:57,PRTG,S,8.3,7352,SMRT,,TRIB14396,Margin,AUTO,+,0,1621.76,Equity/ETF,,65886.9,61021.6,,
11:56:39,PRTG,B,8.02,3712,SMRT,,TRIB14396,Margin,AUTO,-,0,-0.00,Equity/ETF,,-29770.2,29770.2,,
11:56:34,PRTG,B,8.14,3640,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29629.6,29629.6,,
11:56:23,PRTG,S,8.07,3667,SMRT,,TRIB14396,Margin,AUTO,-,0,-36.67,Equity/ETF,,29482.7,29592.7,,
11:56:13,PRTG,B,8.08,3667,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29629.4,29629.4,,
11:53:20,PRTG,S,7.51,3931,SMRT,,TRIB14396,Margin,AUTO,-,0,-78.62,Equity/ETF,,29286,29521.8,,
11:52:35,PRTG,B,7.53,3931,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29600.4,29600.4,,
11:46:42,OPTX,S,4.5,1638,SMRT,,TRIB14396,Margin,AUTO,-,0,16.38,Equity/ETF,,7420.14,7371,,
11:46:41,OPTX,S,4.5,1637,SMRT,,TRIB14396,Margin,AUTO,-,0,16.37,Equity/ETF,,7415.61,7366.5,,
11:46:41,OPTX,S,4.55,3275,SMRT,,TRIB14396,Margin,AUTO,+,0,196.50,Equity/ETF,,15490.8,14901.2,,
11:46:32,OPTX,B,4.49,6550,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29409.5,29409.5,,
11:29:10,NUKK,S,11.86,2561,SMRT,,TRIB14396,Margin,AUTO,-,0,640.25,Equity/ETF,,32294.2,30373.5,,
11:29:00,NUKK,B,11.61,2561,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29733.2,29733.2,,
11:28:49,NUKK,S,12.18,2540,SMRT,,TRIB14396,Margin,AUTO,-,0,990.60,Equity/ETF,,33909,30937.2,,
11:28:37,NUKK,B,11.79,2540,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29946.6,29946.6,,
11:21:24,NUKK,S,10.16,3045,SMRT,,TRIB14396,Margin,AUTO,-,0,1248.45,Equity/ETF,,34682.6,30937.2,,
11:21:17,NUKK,B,9.75,3045,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29688.8,29688.8,,
07:01:40,OPTX,B,4.97,5917,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29407.5,29407.5,,
09:30:20,TNXP,B,1.13,6097,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-27558.4,6889.61,,
08:13:02,NUKK,S,1.93,27522,SMRT,,TRIB14396,Margin,AUTO,-,0,-4128.30,Equity/ETF,,40732.6,53117.5,,
07:48:08,PRTG,S,10.53,370,SMRT,,TRIB14396,Margin,AUTO,+,0,1124.14,Equity/ETF,,7268.52,3896.1,,
07:11:35,PRTG,B,7.9,3735,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29506.5,29506.5,,
07:59:58,PRTG,S,10.65,1444,SMRT,,TRIB14396,Margin,AUTO,-,0,504.60,Equity/ETF,,16892.4,15378.6,,
08:12:06,NUKK,B,2.08,13761,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-28622.9,28622.9,,
08:12:05,NUKK,B,2.08,13761,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-28622.9,28622.9,,
08:11:28,NUKK,S,2.14,23538,SMRT,,TRIB14396,Margin,AUTO,-,0,-7273.68,Equity/ETF,,28550.3,50371.3,,
07:59:46,PRTG,B,10.62,700,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-7434,7434,,
07:11:01,PRTG,B,8.5,3460,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-29410,29410,,
08:10:03,NUKK,B,2.5,11538,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-28845,28845,,
07:58:04,PRTG,B,10,744,SMRT,,TRIB14396,Margin,AUTO,-,0,0.00,Equity/ETF,,-7440,7440,,
